2026-07-01 12:00:09 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-07-01.log
2026-07-01 12:00:12 | INFO     | main.main                           | =======================================================
2026-07-01 12:00:12 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-07-01 12:00:12 | INFO     | main.main                           | =======================================================
2026-07-01 12:00:12 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-07-01 12:00:12 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-07-01 12:00:12 | INFO     | main.main                           | Analizando pitchers del día...
2026-07-01 12:00:13 | DEBUG    | pitching.get_pitcher_stats          | Dean Kremer: ERA temp=3.38 | ERA últ.3 sal.=3.375 | ERA efectiva=3.378
2026-07-01 12:00:15 | DEBUG    | pitching.get_pitcher_stats          | Noah Schultz: ERA temp=5.44 | ERA últ.3 sal.=6.818 | ERA efectiva=5.991
2026-07-01 12:00:15 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-07-01 12:00:16 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-07-01 12:00:18 | DEBUG    | pitching.get_pitcher_stats          | Joey Cantillo: ERA temp=3.78 | ERA últ.3 sal.=1.125 | ERA efectiva=2.718
2026-07-01 12:00:19 | DEBUG    | pitching.get_pitcher_stats          | MacKenzie Gore: ERA temp=4.45 | ERA últ.3 sal.=5.4 | ERA efectiva=4.83
2026-07-01 12:00:20 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-07-01 12:00:20 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-07-01 12:00:21 | DEBUG    | pitching.get_pitcher_stats          | Payton Tolle: ERA temp=2.99 | ERA últ.3 sal.=3.214 | ERA efectiva=3.08
2026-07-01 12:00:23 | DEBUG    | pitching.get_pitcher_stats          | Brad Lord: ERA temp=3.27 | sin salidas recientes
2026-07-01 12:00:23 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-07-01 12:00:24 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-07-01 12:00:25 | DEBUG    | pitching.get_pitcher_stats          | Will Warren: ERA temp=3.71 | ERA últ.3 sal.=5.478 | ERA efectiva=4.417
2026-07-01 12:00:26 | DEBUG    | pitching.get_pitcher_stats          | Troy Melton: ERA temp=2.33 | ERA últ.3 sal.=1.385 | ERA efectiva=1.952
2026-07-01 12:00:27 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-07-01 12:00:28 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-07-01 12:00:29 | DEBUG    | pitching.get_pitcher_stats          | Colin Rea: ERA temp=4.8 | ERA últ.3 sal.=5.035 | ERA efectiva=4.894
2026-07-01 12:00:30 | DEBUG    | pitching.get_pitcher_stats          | Walker Buehler: ERA temp=3.81 | ERA últ.3 sal.=1.776 | ERA efectiva=2.996
2026-07-01 12:00:31 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago Cubs: ERA=3.81 WHIP=1.218 IP=518.2 (20 relievers)
2026-07-01 12:00:32 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Diego Padres: ERA=2.994 WHIP=1.159 IP=577.5 (14 relievers)
2026-07-01 12:00:33 | DEBUG    | pitching.get_pitcher_stats          | Braydon Fisher: ERA temp=3.48 | ERA últ.3 sal.=0.0 | ERA efectiva=2.288
2026-07-01 12:00:35 | DEBUG    | pitching.get_pitcher_stats          | Freddy Peralta: ERA temp=4.53 | ERA últ.3 sal.=7.984 | ERA efectiva=5.912
2026-07-01 12:00:35 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-07-01 12:00:36 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-07-01 12:00:38 | DEBUG    | pitching.get_pitcher_stats          | Zack Wheeler: ERA temp=2.03 | ERA últ.3 sal.=1.484 | ERA efectiva=1.812
2026-07-01 12:00:39 | DEBUG    | pitching.get_pitcher_stats          | Paul Skenes: ERA temp=3.1 | ERA últ.3 sal.=4.235 | ERA efectiva=3.554
2026-07-01 12:00:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-07-01 12:00:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-07-01 12:00:42 | DEBUG    | pitching.get_pitcher_stats          | Reynaldo López: ERA temp=3.47 | ERA últ.3 sal.=8.0 | ERA efectiva=5.282
2026-07-01 12:00:44 | DEBUG    | pitching.get_pitcher_stats          | Michael McGreevy: ERA temp=3.12 | ERA últ.3 sal.=3.706 | ERA efectiva=3.354
2026-07-01 12:00:44 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-07-01 12:00:45 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-07-01 12:00:47 | DEBUG    | pitching.get_pitcher_stats          | Seth Lugo: ERA temp=4.18 | ERA últ.3 sal.=5.745 | ERA efectiva=4.806
2026-07-01 12:00:48 | DEBUG    | pitching.get_pitcher_stats          | Shane McClanahan: ERA temp=3.3 | ERA últ.3 sal.=5.455 | ERA efectiva=4.162
2026-07-01 12:00:48 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-07-01 12:00:49 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-07-01 12:00:50 | DEBUG    | pitching.get_pitcher_stats          | Tatsuya Imai: ERA temp=5.36 | ERA últ.3 sal.=2.647 | ERA efectiva=4.275
2026-07-01 12:00:52 | DEBUG    | pitching.get_pitcher_stats          | Taj Bradley: ERA temp=3.98 | ERA últ.3 sal.=3.956 | ERA efectiva=3.97
2026-07-01 12:00:53 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
2026-07-01 12:00:53 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-07-01 12:00:55 | DEBUG    | pitching.get_pitcher_stats          | Shane Drohan: ERA temp=3.12 | ERA últ.3 sal.=3.191 | ERA efectiva=3.148
2026-07-01 12:00:56 | DEBUG    | pitching.get_pitcher_stats          | Andrew Abbott: ERA temp=3.9 | ERA últ.3 sal.=2.98 | ERA efectiva=3.532
2026-07-01 12:00:57 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-07-01 12:00:58 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-07-01 12:00:59 | DEBUG    | pitching.get_pitcher_stats          | Kyle Freeland: ERA temp=7.5 | ERA últ.3 sal.=6.885 | ERA efectiva=7.254
2026-07-01 12:01:00 | DEBUG    | pitching.get_pitcher_stats          | Max Meyer: ERA temp=2.6 | ERA últ.3 sal.=1.5 | ERA efectiva=2.16
2026-07-01 12:01:01 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Colorado Rockies: ERA=5.108 WHIP=1.482 IP=597.2 (16 relievers)
2026-07-01 12:01:02 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-07-01 12:01:03 | DEBUG    | pitching.get_pitcher_stats          | J.T. Ginn: ERA temp=3.15 | ERA últ.3 sal.=3.158 | ERA efectiva=3.153
2026-07-01 12:01:03 | WARNING  | pitching.analizar_pitchers          | Athletics vs Los Angeles Dodgers — lanzador no confirmado (away: TBD)
2026-07-01 12:01:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Athletics: ERA=4.487 WHIP=1.423 IP=523.5 (18 relievers)
2026-07-01 12:01:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Los Angeles Dodgers: ERA=4.244 WHIP=1.32 IP=625.8 (19 relievers)
2026-07-01 12:01:06 | DEBUG    | pitching.get_pitcher_stats          | Zac Gallen: ERA temp=6.15 | ERA últ.3 sal.=9.444 | ERA efectiva=7.468
2026-07-01 12:01:07 | DEBUG    | pitching.get_pitcher_stats          | Trevor McDonald: ERA temp=4.94 | ERA últ.3 sal.=7.965 | ERA efectiva=6.15
2026-07-01 12:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.99 WHIP=1.433 IP=431.4 (22 relievers)
2026-07-01 12:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Francisco Giants: ERA=3.658 WHIP=1.235 IP=519.1 (15 relievers)
2026-07-01 12:01:08 | INFO     | pitching.analizar_pitchers          | Pitchers analizados: 14 partidos.
2026-07-01 12:01:08 | WARNING  | main.main                           | 1 partido(s) excluido(s) por lanzador TBD:
2026-07-01 12:01:08 | WARNING  | main.main                           |   Los Angeles Dodgers @ Athletics (home=J.T. Ginn, away=TBD)
2026-07-01 12:01:08 | INFO     | main.main                           | Partidos válidos: 13 / 14
2026-07-01 12:01:08 | INFO     | main.main                           | Analizando ofensiva...
2026-07-01 12:01:10 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Baltimore Orioles vsLHP: OPS pond.=0.665 (5/5 con split)
2026-07-01 12:01:12 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Chicago White Sox vsRHP: OPS pond.=0.768 (5/5 con split)
2026-07-01 12:01:12 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Baltimore Orioles (vsLHP OPS=0.665 R/10=4.5 n_runs=0) | Chicago White Sox (vsRHP OPS=0.768 R/10=4.5 n_runs=0)
2026-07-01 12:01:14 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Cleveland Guardians vsLHP: OPS pond.=0.737 (5/5 con split)
2026-07-01 12:01:16 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Texas Rangers vsLHP: OPS pond.=0.799 (5/5 con split)
2026-07-01 12:01:16 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Cleveland Guardians (vsLHP OPS=0.737 R/10=4.5 n_runs=0) | Texas Rangers (vsLHP OPS=0.799 R/10=4.5 n_runs=0)
2026-07-01 12:01:19 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Boston Red Sox vsRHP: OPS pond.=0.719 (5/5 con split)
2026-07-01 12:01:21 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Washington Nationals vsLHP: OPS pond.=0.731 (5/5 con split)
2026-07-01 12:01:21 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Boston Red Sox (vsRHP OPS=0.719 R/10=4.5 n_runs=0) | Washington Nationals (vsLHP OPS=0.731 R/10=4.5 n_runs=0)
2026-07-01 12:01:23 | DEBUG    | offense.obtener_stats_ofensivas     | Offense New York Yankees vsRHP: OPS pond.=0.797 (5/5 con split)
2026-07-01 12:01:25 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Detroit Tigers vsRHP: OPS pond.=0.816 (5/5 con split)
2026-07-01 12:01:25 | DEBUG    | offense.analizar_ofensiva           | OFFENSE New York Yankees (vsRHP OPS=0.797 R/10=4.5 n_runs=0) | Detroit Tigers (vsRHP OPS=0.816 R/10=4.5 n_runs=0)
2026-07-01 12:01:27 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Chicago Cubs vsRHP: OPS pond.=0.768 (5/5 con split)
2026-07-01 12:01:29 | DEBUG    | offense.obtener_stats_ofensivas     | Offense San Diego Padres vsRHP: OPS pond.=0.674 (5/5 con split)
2026-07-01 12:01:29 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Chicago Cubs (vsRHP OPS=0.768 R/10=4.5 n_runs=0) | San Diego Padres (vsRHP OPS=0.674 R/10=4.5 n_runs=0)
2026-07-01 12:01:31 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Toronto Blue Jays vsRHP: OPS pond.=0.705 (5/5 con split)
2026-07-01 12:01:34 | DEBUG    | offense.obtener_stats_ofensivas     | Offense New York Mets vsRHP: OPS pond.=0.706 (5/5 con split)
2026-07-01 12:01:34 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Toronto Blue Jays (vsRHP OPS=0.705 R/10=4.5 n_runs=0) | New York Mets (vsRHP OPS=0.706 R/10=4.5 n_runs=0)
2026-07-01 12:01:36 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Philadelphia Phillies vsRHP: OPS pond.=0.845 (5/5 con split)
2026-07-01 12:01:38 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Pittsburgh Pirates vsRHP: OPS pond.=0.854 (5/5 con split)
2026-07-01 12:01:38 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Philadelphia Phillies (vsRHP OPS=0.845 R/10=4.5 n_runs=0) | Pittsburgh Pirates (vsRHP OPS=0.854 R/10=4.5 n_runs=0)
