2026-04-06 13:14:47 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-04-06.log
2026-04-06 13:15:02 | INFO     | main.main                           | =======================================================
2026-04-06 13:15:02 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-04-06 13:15:02 | INFO     | main.main                           | =======================================================
2026-04-06 13:15:02 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-04-06 13:15:02 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-04-06 13:15:26 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-04-06 13:15:26 | INFO     | main.main                           | Analizando pitchers del día...
2026-04-06 13:15:27 | DEBUG    | pitching.get_pitcher_stats          | Shane McClanahan: ERA temp=3.86 | ERA últ.1 sal.=4.286 | ERA efectiva=4.03
2026-04-06 13:15:29 | DEBUG    | pitching.get_pitcher_stats          | Jameson Taillon: ERA temp=0.0 | ERA últ.1 sal.=0.0 | ERA efectiva=0.5
2026-04-06 13:15:29 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-04-06 13:15:30 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago Cubs: ERA=3.81 WHIP=1.218 IP=518.2 (20 relievers)
2026-04-06 13:15:31 | DEBUG    | pitching.get_pitcher_stats          | Tanner Bibee: ERA temp=4.0 | ERA últ.2 sal.=4.0 | ERA efectiva=4.0
2026-04-06 13:15:33 | DEBUG    | pitching.get_pitcher_stats          | Michael Wacha: ERA temp=0.0 | ERA últ.1 sal.=0.0 | ERA efectiva=0.5
2026-04-06 13:15:33 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-04-06 13:15:34 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-04-06 13:15:35 | DEBUG    | pitching.get_pitcher_stats          | Bubba Chandler: ERA temp=0.0 | ERA últ.1 sal.=0.0 | ERA efectiva=0.5
2026-04-06 13:15:36 | DEBUG    | pitching.get_pitcher_stats          | Germán Márquez: ERA temp=12.0 | ERA últ.1 sal.=12.0 | ERA efectiva=12.0
2026-04-06 13:15:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-04-06 13:15:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Diego Padres: ERA=2.994 WHIP=1.159 IP=577.5 (14 relievers)
2026-04-06 13:15:38 | DEBUG    | pitching.get_pitcher_stats          | Janson Junk: ERA temp=4.15 | ERA últ.1 sal.=4.39 | ERA efectiva=4.246
2026-04-06 13:15:39 | DEBUG    | pitching.get_pitcher_stats          | Brandon Williamson: ERA temp=11.57 | ERA últ.1 sal.=12.857 | ERA efectiva=11.742
2026-04-06 13:15:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-04-06 13:15:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-04-06 13:15:42 | DEBUG    | pitching.get_pitcher_stats          | Zack Littell: ERA temp=5.4 | sin salidas recientes
2026-04-06 13:15:43 | DEBUG    | pitching.get_pitcher_stats          | Andre Pallante: ERA temp=0.0 | ERA últ.1 sal.=0.0 | ERA efectiva=0.5
2026-04-06 13:15:43 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-04-06 13:15:44 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-04-06 13:15:45 | DEBUG    | pitching.get_pitcher_stats          | Brayan Bello: ERA temp=9.64 | ERA últ.1 sal.=10.714 | ERA efectiva=10.07
2026-04-06 13:15:46 | DEBUG    | pitching.get_pitcher_stats          | Brandon Woodruff: ERA temp=3.6 | ERA últ.1 sal.=3.6 | ERA efectiva=3.6
2026-04-06 13:15:47 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-04-06 13:15:47 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-04-06 13:15:49 | DEBUG    | pitching.get_pitcher_stats          | Max Scherzer: ERA temp=1.5 | ERA últ.1 sal.=1.5 | ERA efectiva=1.5
2026-04-06 13:15:50 | DEBUG    | pitching.get_pitcher_stats          | Justin Wrobleski: ERA temp=6.75 | sin salidas recientes
2026-04-06 13:15:51 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-04-06 13:15:53 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Los Angeles Dodgers: ERA=4.244 WHIP=1.32 IP=625.8 (19 relievers)
2026-04-06 13:15:54 | DEBUG    | pitching.get_pitcher_stats          | Joe Ryan: ERA temp=4.82 | ERA últ.2 sal.=4.945 | ERA efectiva=4.87
2026-04-06 13:15:56 | DEBUG    | pitching.get_pitcher_stats          | Casey Mize: ERA temp=1.5 | ERA últ.1 sal.=1.5 | ERA efectiva=1.5
2026-04-06 13:15:57 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-04-06 13:15:58 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
