2026-06-11 12:00:05 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-06-11.log
2026-06-11 12:00:06 | INFO     | main.main                           | =======================================================
2026-06-11 12:00:06 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-06-11 12:00:06 | INFO     | main.main                           | =======================================================
2026-06-11 12:00:06 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-06-11 12:00:06 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-06-11 12:00:06 | INFO     | main.main                           | Analizando pitchers del día...
2026-06-11 12:00:08 | DEBUG    | pitching.get_pitcher_stats          | Christian Scott: ERA temp=3.23 | ERA últ.3 sal.=3.409 | ERA efectiva=3.302
2026-06-11 12:00:09 | DEBUG    | pitching.get_pitcher_stats          | Hunter Dobbins: ERA temp=4.2 | ERA últ.2 sal.=8.852 | ERA efectiva=6.061
2026-06-11 12:00:10 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-06-11 12:00:11 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-06-11 12:00:13 | DEBUG    | pitching.get_pitcher_stats          | Keider Montero: ERA temp=3.76 | ERA últ.3 sal.=2.535 | ERA efectiva=3.27
2026-06-11 12:00:14 | DEBUG    | pitching.get_pitcher_stats          | Zebby Matthews: ERA temp=4.05 | ERA últ.3 sal.=6.383 | ERA efectiva=4.983
2026-06-11 12:00:14 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-06-11 12:00:15 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-06-11 12:00:16 | DEBUG    | pitching.get_pitcher_stats          | Tyler Phillips: ERA temp=1.94 | ERA últ.3 sal.=2.389 | ERA efectiva=2.12
2026-06-11 12:00:19 | DEBUG    | pitching.get_pitcher_stats          | Merrill Kelly: ERA temp=5.58 | ERA últ.3 sal.=6.87 | ERA efectiva=6.096
2026-06-11 12:00:21 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-06-11 12:00:21 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.99 WHIP=1.433 IP=431.4 (22 relievers)
2026-06-11 12:00:24 | DEBUG    | pitching.get_pitcher_stats          | Michael Wacha: ERA temp=3.44 | ERA últ.3 sal.=6.279 | ERA efectiva=4.576
2026-06-11 12:00:27 | DEBUG    | pitching.get_pitcher_stats          | Kumar Rocker: ERA temp=3.54 | ERA últ.3 sal.=3.375 | ERA efectiva=3.474
2026-06-11 12:00:28 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-06-11 12:00:28 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
