2026-06-07 12:07:11 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-06-07.log
2026-06-07 12:07:12 | INFO     | main.main                           | =======================================================
2026-06-07 12:07:12 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-06-07 12:07:12 | INFO     | main.main                           | =======================================================
2026-06-07 12:07:12 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-06-07 12:07:12 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-06-07 12:08:10 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-06-07 12:08:10 | INFO     | main.main                           | Analizando pitchers del día...
2026-06-07 12:08:11 | DEBUG    | pitching.get_pitcher_stats          | Bryce Elder: ERA temp=2.68 | ERA últ.3 sal.=7.168 | ERA efectiva=4.475
2026-06-07 12:08:12 | DEBUG    | pitching.get_pitcher_stats          | Mason Montgomery: ERA temp=4.56 | ERA últ.3 sal.=0.0 | ERA efectiva=2.936
2026-06-07 12:08:13 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-06-07 12:08:14 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-06-07 12:08:15 | DEBUG    | pitching.get_pitcher_stats          | Aaron Nola: ERA temp=5.46 | ERA últ.3 sal.=3.0 | ERA efectiva=4.476
2026-06-07 12:08:16 | DEBUG    | pitching.get_pitcher_stats          | Tyler Gilbert: ERA temp=18.9 | sin salidas recientes
2026-06-07 12:08:17 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-06-07 12:08:17 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-06-07 12:08:18 | DEBUG    | pitching.get_pitcher_stats          | Cam Schlittler: ERA temp=1.86 | ERA últ.3 sal.=4.054 | ERA efectiva=2.738
2026-06-07 12:08:19 | DEBUG    | pitching.get_pitcher_stats          | Ranger Suarez: ERA temp=3.34 | ERA últ.3 sal.=6.383 | ERA efectiva=4.557
2026-06-07 12:08:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-06-07 12:08:23 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-06-07 12:08:24 | DEBUG    | pitching.get_pitcher_stats          | Kevin Gausman: ERA temp=3.27 | ERA últ.3 sal.=3.462 | ERA efectiva=3.347
2026-06-07 12:08:25 | DEBUG    | pitching.get_pitcher_stats          | Shane Baz: ERA temp=4.21 | ERA últ.3 sal.=1.8 | ERA efectiva=3.246
2026-06-07 12:08:25 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-06-07 12:08:26 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-06-07 12:08:27 | DEBUG    | pitching.get_pitcher_stats          | Jack Flaherty: ERA temp=5.13 | ERA últ.3 sal.=2.213 | ERA efectiva=3.963
2026-06-07 12:08:28 | DEBUG    | pitching.get_pitcher_stats          | Luis Castillo: ERA temp=5.4 | ERA últ.3 sal.=2.647 | ERA efectiva=4.299
