2026-04-02 11:50:10 | DEBUG    | main.main                           |   Pitchers : David Peterson vs Robbie Ray
2026-04-02 11:50:10 | DEBUG    | main.main                           |   Proy     : 2.83 - 3.11
2026-04-02 11:50:10 | DEBUG    | main.main                           |   ML pick  : San Francisco Giants (EV 46.1)
2026-04-02 11:50:10 | DEBUG    | main.main                           |   RL pick  : San Francisco Giants (EV 13.2)
2026-04-02 11:50:10 | DEBUG    | main.main                           |   Total    : Under 7.5
2026-04-02 11:50:10 | INFO     | main.main                           |   ✔ ML: San Francisco Giants | Stake: 5.0%
2026-04-02 11:50:10 | INFO     | main.main                           | Chicago White Sox vs Toronto Blue Jays
2026-04-02 11:50:10 | DEBUG    | main.main                           |   Pitchers : Dylan Cease vs Sean Burke
2026-04-02 11:50:10 | DEBUG    | main.main                           |   Proy     : 2.15 - 6.05
2026-04-02 11:50:10 | DEBUG    | main.main                           |   ML pick  : Chicago White Sox (EV 146.8)
2026-04-02 11:50:10 | DEBUG    | main.main                           |   RL pick  : Chicago White Sox (EV 78.2)
2026-04-02 11:50:10 | DEBUG    | main.main                           |   Total    : Sin ventaja clara 9.0
2026-04-02 11:50:10 | INFO     | main.main                           |   ✔ RL: Chicago White Sox | Stake: 5.0%
2026-04-02 11:50:10 | INFO     | main.main                           | Enviando picks a Telegram...
2026-04-02 11:50:14 | INFO     | main.main                           | Telegram: picks enviados.
2026-04-02 11:50:14 | INFO     | main.main                           | Pipeline completado.
