2026-04-26 11:42:52 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-04-26.log
2026-04-26 11:43:00 | INFO     | main.main                           | =======================================================
2026-04-26 11:43:00 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-04-26 11:43:00 | INFO     | main.main                           | =======================================================
2026-04-26 11:43:00 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-04-26 11:43:00 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-04-26 11:43:43 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-04-26 11:43:43 | INFO     | main.main                           | Analizando pitchers del día...
2026-04-26 11:43:45 | DEBUG    | pitching.get_pitcher_stats          | Kyle Bradish: ERA temp=3.86 | ERA últ.3 sal.=2.795 | ERA efectiva=3.434
2026-04-26 11:43:46 | DEBUG    | pitching.get_pitcher_stats          | Connelly Early: ERA temp=2.88 | ERA últ.3 sal.=2.961 | ERA efectiva=2.912
2026-04-26 11:43:47 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-04-26 11:43:48 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-04-26 11:43:49 | DEBUG    | pitching.get_pitcher_stats          | Chris Sale: ERA temp=2.7 | ERA últ.3 sal.=1.286 | ERA efectiva=2.134
2026-04-26 11:43:50 | DEBUG    | pitching.get_pitcher_stats          | Aaron Nola: ERA temp=5.06 | ERA últ.3 sal.=6.556 | ERA efectiva=5.658
2026-04-26 11:43:51 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-04-26 11:43:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-04-26 11:43:53 | DEBUG    | pitching.get_pitcher_stats          | Patrick Corbin: ERA temp=3.52 | ERA últ.3 sal.=3.803 | ERA efectiva=3.633
2026-04-26 11:43:54 | DEBUG    | pitching.get_pitcher_stats          | Slade Cecconi: ERA temp=6.2 | ERA últ.3 sal.=7.021 | ERA efectiva=6.528
2026-04-26 11:43:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-04-26 11:43:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-04-26 11:43:57 | DEBUG    | pitching.get_pitcher_stats          | Rhett Lowder: ERA temp=3.07 | ERA últ.3 sal.=4.162 | ERA efectiva=3.507
2026-04-26 11:43:58 | DEBUG    | pitching.get_pitcher_stats          | Keider Montero: ERA temp=3.68 | ERA últ.3 sal.=3.663 | ERA efectiva=3.673
2026-04-26 11:43:59 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-04-26 11:43:59 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-04-26 11:44:01 | DEBUG    | pitching.get_pitcher_stats          | Nolan McLean: ERA temp=2.61 | ERA últ.3 sal.=2.798 | ERA efectiva=2.685
2026-04-26 11:44:02 | DEBUG    | pitching.get_pitcher_stats          | Jose Quintana: ERA temp=6.23 | ERA últ.3 sal.=6.585 | ERA efectiva=6.372
2026-04-26 11:44:03 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-04-26 11:44:03 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Colorado Rockies: ERA=5.108 WHIP=1.482 IP=597.2 (16 relievers)
2026-04-26 11:44:04 | DEBUG    | pitching.get_pitcher_stats          | Kodai Senga: ERA temp=8.83 | ERA últ.3 sal.=12.981 | ERA efectiva=10.098
2026-04-26 11:44:04 | WARNING  | pitching.analizar_pitchers          | New York Mets vs Colorado Rockies — lanzador no confirmado (away: TBD)
2026-04-26 11:44:06 | DEBUG    | pitching.get_pitcher_stats          | Griffin Jax: ERA temp=7.45 | sin salidas recientes
2026-04-26 11:44:07 | DEBUG    | pitching.get_pitcher_stats          | Simeon Woods Richardson: ERA temp=5.96 | ERA últ.3 sal.=9.0 | ERA efectiva=7.176
2026-04-26 11:44:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-04-26 11:44:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-04-26 11:44:10 | DEBUG    | pitching.get_pitcher_stats          | Bryan Hudson: ERA temp=1.54 | ERA últ.1 sal.=0.0 | ERA efectiva=1.124
2026-04-26 11:44:11 | DEBUG    | pitching.get_pitcher_stats          | Foster Griffin: ERA temp=3.38 | ERA últ.3 sal.=3.889 | ERA efectiva=3.584
2026-04-26 11:44:12 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
