2026-07-07 12:00:11 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-07-07.log
2026-07-07 12:00:14 | INFO     | main.main                           | =======================================================
2026-07-07 12:00:14 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-07-07 12:00:14 | INFO     | main.main                           | =======================================================
2026-07-07 12:00:14 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-07-07 12:00:14 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-07-07 12:00:47 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-07-07 12:00:47 | INFO     | main.main                           | Analizando pitchers del día...
2026-07-07 12:00:48 | DEBUG    | pitching.get_pitcher_stats          | Matt Svanson: ERA temp=6.69 | sin salidas recientes
2026-07-07 12:00:50 | DEBUG    | pitching.get_pitcher_stats          | Jacob Misiorowski: ERA temp=1.47 | ERA últ.3 sal.=2.118 | ERA efectiva=1.729
2026-07-07 12:00:50 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-07-07 12:00:51 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-07-07 12:00:53 | DEBUG    | pitching.get_pitcher_stats          | Hunter Dobbins: ERA temp=3.63 | ERA últ.2 sal.=6.585 | ERA efectiva=4.812
2026-07-07 12:00:54 | DEBUG    | pitching.get_pitcher_stats          | Robert Gasser: ERA temp=4.54 | ERA últ.3 sal.=2.744 | ERA efectiva=3.822
2026-07-07 12:00:56 | DEBUG    | pitching.get_pitcher_stats          | Shane Baz: ERA temp=4.19 | ERA últ.3 sal.=4.737 | ERA efectiva=4.409
2026-07-07 12:00:57 | DEBUG    | pitching.get_pitcher_stats          | Matthew Boyd: ERA temp=5.08 | ERA últ.3 sal.=2.961 | ERA efectiva=4.232
2026-07-07 12:00:58 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
