2026-05-16 10:00:04 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-05-16.log
2026-05-16 10:00:05 | INFO     | main.main                           | =======================================================
2026-05-16 10:00:05 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-05-16 10:00:05 | INFO     | main.main                           | =======================================================
2026-05-16 10:00:05 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-05-16 10:00:05 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-05-16 10:00:05 | INFO     | main.main                           | Analizando pitchers del día...
2026-05-16 10:00:08 | DEBUG    | pitching.get_pitcher_stats          | Casey Mize: ERA temp=2.9 | ERA últ.3 sal.=1.888 | ERA efectiva=2.495
2026-05-16 10:00:11 | DEBUG    | pitching.get_pitcher_stats          | Mason Fluharty: ERA temp=5.4 | ERA últ.1 sal.=9.0 | ERA efectiva=6.84
2026-05-16 10:00:13 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-05-16 10:00:14 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-05-16 10:00:15 | DEBUG    | pitching.get_pitcher_stats          | Kyle Leahy: ERA temp=4.31 | ERA últ.3 sal.=2.368 | ERA efectiva=3.533
2026-05-16 10:00:18 | DEBUG    | pitching.get_pitcher_stats          | Noah Cameron: ERA temp=5.55 | ERA últ.3 sal.=5.921 | ERA efectiva=5.698
2026-05-16 10:00:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-05-16 10:00:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-05-16 10:00:26 | DEBUG    | pitching.get_pitcher_stats          | Tomoyuki Sugano: ERA temp=4.07 | ERA últ.3 sal.=5.329 | ERA efectiva=4.574
2026-05-16 10:00:27 | DEBUG    | pitching.get_pitcher_stats          | Eduardo Rodriguez: ERA temp=1.74 | ERA últ.2 sal.=0.0 | ERA efectiva=1.244
2026-05-16 10:00:29 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Colorado Rockies: ERA=5.108 WHIP=1.482 IP=597.2 (16 relievers)
2026-05-16 10:00:31 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.99 WHIP=1.433 IP=431.4 (22 relievers)
2026-05-16 10:00:33 | DEBUG    | pitching.get_pitcher_stats          | Cade Cavalli: ERA temp=4.02 | ERA últ.3 sal.=4.145 | ERA efectiva=4.07
2026-05-16 10:00:34 | DEBUG    | pitching.get_pitcher_stats          | Chris Bassitt: ERA temp=5.21 | ERA últ.3 sal.=5.882 | ERA efectiva=5.479
2026-05-16 10:00:35 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-05-16 10:00:36 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-05-16 10:00:39 | DEBUG    | pitching.get_pitcher_stats          | Bubba Chandler: ERA temp=4.62 | ERA últ.3 sal.=4.2 | ERA efectiva=4.452
2026-05-16 10:00:40 | DEBUG    | pitching.get_pitcher_stats          | Cristopher Sánchez: ERA temp=2.11 | ERA últ.3 sal.=0.849 | ERA efectiva=1.606
2026-05-16 10:00:42 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-05-16 10:00:46 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-05-16 10:00:51 | DEBUG    | pitching.get_pitcher_stats          | Nick Martinez: ERA temp=1.7 | ERA últ.3 sal.=1.047 | ERA efectiva=1.439
2026-05-16 10:00:54 | DEBUG    | pitching.get_pitcher_stats          | Sandy Alcantara: ERA temp=3.9 | ERA últ.3 sal.=6.149 | ERA efectiva=4.8
2026-05-16 10:00:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-05-16 10:00:56 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-05-16 10:00:57 | DEBUG    | pitching.get_pitcher_stats          | Joey Cantillo: ERA temp=2.98 | ERA últ.3 sal.=3.0 | ERA efectiva=2.988
2026-05-16 10:00:58 | DEBUG    | pitching.get_pitcher_stats          | Chris Paddack: ERA temp=7.63 | ERA últ.3 sal.=12.115 | ERA efectiva=9.378
2026-05-16 10:00:59 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-05-16 10:01:00 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-05-16 10:01:01 | DEBUG    | pitching.get_pitcher_stats          | Kai-Wei Teng: ERA temp=3.12 | ERA últ.2 sal.=7.5 | ERA efectiva=4.872
2026-05-16 10:01:03 | DEBUG    | pitching.get_pitcher_stats          | Jacob deGrom: ERA temp=2.62 | ERA últ.3 sal.=3.298 | ERA efectiva=2.891
2026-05-16 10:01:03 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
2026-05-16 10:01:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-05-16 10:01:05 | DEBUG    | pitching.get_pitcher_stats          | Davis Martin: ERA temp=1.62 | ERA últ.3 sal.=0.989 | ERA efectiva=1.368
2026-05-16 10:01:07 | DEBUG    | pitching.get_pitcher_stats          | Jameson Taillon: ERA temp=3.94 | ERA últ.3 sal.=3.121 | ERA efectiva=3.612
2026-05-16 10:01:07 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-05-16 10:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago Cubs: ERA=3.81 WHIP=1.218 IP=518.2 (20 relievers)
2026-05-16 10:01:09 | DEBUG    | pitching.get_pitcher_stats          | Connor Prielipp: ERA temp=3.32 | ERA últ.3 sal.=3.0 | ERA efectiva=3.192
2026-05-16 10:01:11 | DEBUG    | pitching.get_pitcher_stats          | Logan Henderson: ERA temp=4.15 | ERA últ.3 sal.=4.154 | ERA efectiva=4.152
2026-05-16 10:01:11 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-05-16 10:01:12 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-05-16 10:01:13 | DEBUG    | pitching.get_pitcher_stats          | Logan Gilbert: ERA temp=3.78 | ERA últ.3 sal.=2.647 | ERA efectiva=3.327
2026-05-16 10:01:15 | DEBUG    | pitching.get_pitcher_stats          | Walker Buehler: ERA temp=5.2 | ERA últ.3 sal.=4.706 | ERA efectiva=5.002
2026-05-16 10:01:15 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Seattle Mariners: ERA=3.701 WHIP=1.255 IP=551.5 (18 relievers)
2026-05-16 10:01:16 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Diego Padres: ERA=2.994 WHIP=1.159 IP=577.5 (14 relievers)
2026-05-16 10:01:41 | DEBUG    | pitching.get_pitcher_stats          | Bryce Elder: ERA temp=1.81 | ERA últ.3 sal.=1.57 | ERA efectiva=1.714
2026-05-16 10:01:44 | DEBUG    | pitching.get_pitcher_stats          | Payton Tolle: ERA temp=1.99 | ERA últ.3 sal.=2.222 | ERA efectiva=2.083
2026-05-16 10:01:44 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-05-16 10:01:46 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-05-16 10:01:47 | DEBUG    | pitching.get_pitcher_stats          | Huascar Brazobán: ERA temp=2.14 | ERA últ.2 sal.=9.0 | ERA efectiva=4.884
2026-05-16 10:01:49 | DEBUG    | pitching.get_pitcher_stats          | Carlos Rodón: ERA temp=6.23 | ERA últ.1 sal.=6.585 | ERA efectiva=6.372
2026-05-16 10:01:49 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-05-16 10:01:50 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-05-16 10:01:52 | DEBUG    | pitching.get_pitcher_stats          | José Soriano: ERA temp=1.66 | ERA últ.3 sal.=5.0 | ERA efectiva=2.996
