2026-05-03 10:20:38 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-05-03.log
2026-05-03 10:20:40 | INFO     | main.main                           | =======================================================
2026-05-03 10:20:40 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-05-03 10:20:40 | INFO     | main.main                           | =======================================================
2026-05-03 10:20:40 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-05-03 10:20:40 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-05-03 10:20:40 | INFO     | main.main                           | Analizando pitchers del día...
2026-05-03 10:20:41 | DEBUG    | pitching.get_pitcher_stats          | Joe Ryan: ERA temp=3.76 | ERA últ.3 sal.=3.706 | ERA efectiva=3.738
2026-05-03 10:20:43 | DEBUG    | pitching.get_pitcher_stats          | Trey Yesavage: ERA temp=0.0 | ERA últ.1 sal.=0.0 | ERA efectiva=0.5
2026-05-03 10:20:43 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.658 WHIP=1.407 IP=550.9 (21 relievers)
2026-05-03 10:20:44 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-05-03 10:20:50 | DEBUG    | pitching.get_pitcher_stats          | Ranger Suarez: ERA temp=3.09 | ERA últ.3 sal.=1.782 | ERA efectiva=2.567
2026-05-03 10:20:54 | DEBUG    | pitching.get_pitcher_stats          | Cody Bolton: ERA temp=5.79 | ERA últ.2 sal.=7.059 | ERA efectiva=6.298
2026-05-03 10:20:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-05-03 10:20:56 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
2026-05-03 10:20:57 | DEBUG    | pitching.get_pitcher_stats          | Braxton Ashcraft: ERA temp=3.71 | ERA últ.3 sal.=5.521 | ERA efectiva=4.434
2026-05-03 10:20:59 | DEBUG    | pitching.get_pitcher_stats          | Chase Burns: ERA temp=2.65 | ERA últ.3 sal.=2.093 | ERA efectiva=2.427
2026-05-03 10:21:00 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-05-03 10:21:01 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-05-03 10:21:02 | DEBUG    | pitching.get_pitcher_stats          | Max Fried: ERA temp=2.09 | ERA últ.3 sal.=2.356 | ERA efectiva=2.196
2026-05-03 10:21:03 | DEBUG    | pitching.get_pitcher_stats          | Trey Gibson: ERA temp=4.5 | sin salidas recientes
2026-05-03 10:21:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-05-03 10:21:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-05-03 10:21:06 | DEBUG    | pitching.get_pitcher_stats          | PJ Poulin: ERA temp=4.11 | ERA últ.3 sal.=2.812 | ERA efectiva=3.591
2026-05-03 10:21:07 | DEBUG    | pitching.get_pitcher_stats          | Logan Henderson: ERA temp=9.0 | ERA últ.1 sal.=9.0 | ERA efectiva=9.0
2026-05-03 10:21:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-05-03 10:21:09 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-05-03 10:21:10 | DEBUG    | pitching.get_pitcher_stats          | Steven Matz: ERA temp=4.31 | ERA últ.3 sal.=4.768 | ERA efectiva=4.493
2026-05-03 10:21:11 | DEBUG    | pitching.get_pitcher_stats          | Tyler Mahle: ERA temp=5.87 | ERA últ.3 sal.=7.312 | ERA efectiva=6.447
2026-05-03 10:21:12 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-05-03 10:21:13 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Francisco Giants: ERA=3.658 WHIP=1.235 IP=519.1 (15 relievers)
2026-05-03 10:21:14 | DEBUG    | pitching.get_pitcher_stats          | Chris Paddack: ERA temp=6.11 | ERA últ.3 sal.=6.532 | ERA efectiva=6.279
2026-05-03 10:21:16 | DEBUG    | pitching.get_pitcher_stats          | Jesús Luzardo: ERA temp=5.5 | ERA últ.3 sal.=4.969 | ERA efectiva=5.288
2026-05-03 10:21:16 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-05-03 10:21:17 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-05-03 10:21:20 | DEBUG    | pitching.get_pitcher_stats          | Dustin May: ERA temp=5.28 | ERA últ.3 sal.=2.105 | ERA efectiva=4.01
2026-05-03 10:21:22 | DEBUG    | pitching.get_pitcher_stats          | Justin Wrobleski: ERA temp=1.5 | ERA últ.3 sal.=0.429 | ERA efectiva=1.1
2026-05-03 10:21:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-05-03 10:21:24 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Los Angeles Dodgers: ERA=4.244 WHIP=1.32 IP=625.8 (19 relievers)
2026-05-03 10:21:28 | DEBUG    | pitching.get_pitcher_stats          | Matthew Boyd: ERA temp=7.0 | ERA últ.3 sal.=5.373 | ERA efectiva=6.349
2026-05-03 10:21:33 | DEBUG    | pitching.get_pitcher_stats          | Merrill Kelly: ERA temp=9.2 | ERA últ.3 sal.=9.507 | ERA efectiva=9.323
2026-05-03 10:21:33 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago Cubs: ERA=3.81 WHIP=1.218 IP=518.2 (20 relievers)
2026-05-03 10:21:34 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.99 WHIP=1.433 IP=431.4 (22 relievers)
2026-05-03 10:21:36 | DEBUG    | pitching.get_pitcher_stats          | Kyle Freeland: ERA temp=3.48 | ERA últ.3 sal.=3.354 | ERA efectiva=3.43
2026-05-03 10:21:36 | DEBUG    | pitching.get_pitcher_stats          | Spencer Strider: ERA temp=4.5 | sin salidas recientes
2026-05-03 10:21:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Colorado Rockies: ERA=5.108 WHIP=1.482 IP=597.2 (16 relievers)
2026-05-03 10:21:38 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-05-03 10:21:39 | DEBUG    | pitching.get_pitcher_stats          | Aaron Civale: ERA temp=3.23 | ERA últ.3 sal.=5.035 | ERA efectiva=3.952
2026-05-03 10:21:41 | DEBUG    | pitching.get_pitcher_stats          | Parker Messick: ERA temp=1.73 | ERA últ.3 sal.=2.967 | ERA efectiva=2.225
2026-05-03 10:21:42 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Athletics: ERA=4.487 WHIP=1.423 IP=523.5 (18 relievers)
2026-05-03 10:21:43 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-05-03 10:21:44 | DEBUG    | pitching.get_pitcher_stats          | Jack Kochanowicz: ERA temp=3.09 | ERA últ.3 sal.=3.103 | ERA efectiva=3.095
2026-05-03 10:21:46 | DEBUG    | pitching.get_pitcher_stats          | Clay Holmes: ERA temp=1.75 | ERA últ.3 sal.=2.0 | ERA efectiva=1.85
2026-05-03 10:21:46 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Los Angeles Angels: ERA=4.53 WHIP=1.367 IP=558.0 (22 relievers)
2026-05-03 10:21:47 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-05-03 10:21:49 | DEBUG    | pitching.get_pitcher_stats          | Luis Castillo: ERA temp=6.35 | ERA últ.3 sal.=5.96 | ERA efectiva=6.194
2026-05-03 10:21:51 | DEBUG    | pitching.get_pitcher_stats          | Kris Bubic: ERA temp=3.74 | ERA últ.3 sal.=5.329 | ERA efectiva=4.376
2026-05-03 10:21:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Seattle Mariners: ERA=3.701 WHIP=1.255 IP=551.5 (18 relievers)
2026-05-03 10:21:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-05-03 10:21:53 | WARNING  | pitching.get_pitcher_stats          | Lanzador 'Griffin Canning' no encontrado en MLB API. Tratando como TBD.
2026-05-03 10:21:54 | DEBUG    | pitching.get_pitcher_stats          | Anthony Kay: ERA temp=6.12 | ERA últ.3 sal.=8.71 | ERA efectiva=7.156
2026-05-03 10:21:54 | WARNING  | pitching.analizar_pitchers          | San Diego Padres vs Chicago White Sox — lanzador no confirmado (home: Griffin Canning)
2026-05-03 10:21:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Diego Padres: ERA=2.994 WHIP=1.159 IP=577.5 (14 relievers)
2026-05-03 10:21:56 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-05-03 10:21:57 | DEBUG    | pitching.get_pitcher_stats          | Tyler Holton: ERA temp=5.54 | sin salidas recientes
2026-05-03 10:21:59 | DEBUG    | pitching.get_pitcher_stats          | Jack Leiter: ERA temp=5.17 | ERA últ.3 sal.=5.556 | ERA efectiva=5.324
2026-05-03 10:22:00 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-05-03 10:22:03 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-05-03 10:22:03 | INFO     | pitching.analizar_pitchers          | Pitchers analizados: 15 partidos.
2026-05-03 10:22:03 | WARNING  | main.main                           | 1 partido(s) excluido(s) por lanzador TBD:
