2026-06-23 12:00:09 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-06-23.log
2026-06-23 12:00:11 | INFO     | main.main                           | =======================================================
2026-06-23 12:00:11 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-06-23 12:00:11 | INFO     | main.main                           | =======================================================
2026-06-23 12:00:11 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-06-23 12:00:11 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-06-23 12:00:11 | INFO     | main.main                           | Analizando pitchers del día...
2026-06-23 12:00:12 | DEBUG    | pitching.get_pitcher_stats          | Shane Bieber: ERA temp=4.5 | sin salidas recientes
2026-06-23 12:00:13 | DEBUG    | pitching.get_pitcher_stats          | Peter Lambert: ERA temp=3.23 | ERA últ.3 sal.=1.978 | ERA efectiva=2.729
2026-06-23 12:00:14 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-06-23 12:00:15 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
2026-06-23 12:00:16 | DEBUG    | pitching.get_pitcher_stats          | Mitch Keller: ERA temp=4.92 | ERA últ.3 sal.=8.12 | ERA efectiva=6.2
2026-06-23 12:00:17 | DEBUG    | pitching.get_pitcher_stats          | George Kirby: ERA temp=4.1 | ERA últ.3 sal.=5.625 | ERA efectiva=4.71
2026-06-23 12:00:17 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-06-23 12:00:18 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Seattle Mariners: ERA=3.701 WHIP=1.255 IP=551.5 (18 relievers)
2026-06-23 12:00:19 | DEBUG    | pitching.get_pitcher_stats          | Shane McClanahan: ERA temp=3.33 | ERA últ.3 sal.=7.377 | ERA efectiva=4.949
2026-06-23 12:00:21 | DEBUG    | pitching.get_pitcher_stats          | Luinder Avila: ERA temp=5.5 | ERA últ.3 sal.=1.776 | ERA efectiva=4.01
2026-06-23 12:00:21 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-06-23 12:00:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-06-23 12:00:23 | DEBUG    | pitching.get_pitcher_stats          | Sandy Alcantara: ERA temp=4.18 | ERA últ.3 sal.=2.571 | ERA efectiva=3.536
2026-06-23 12:00:25 | DEBUG    | pitching.get_pitcher_stats          | Cal Quantrill: ERA temp=3.68 | sin salidas recientes
2026-06-23 12:00:25 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-06-23 12:00:26 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-06-23 12:00:27 | DEBUG    | pitching.get_pitcher_stats          | Casey Mize: ERA temp=2.58 | ERA últ.3 sal.=3.125 | ERA efectiva=2.798
