2026-06-25 12:00:06 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-06-25.log
2026-06-25 12:00:07 | INFO     | main.main                           | =======================================================
2026-06-25 12:00:07 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-06-25 12:00:07 | INFO     | main.main                           | =======================================================
2026-06-25 12:00:07 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-06-25 12:00:07 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-06-25 12:00:33 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-06-25 12:00:33 | INFO     | main.main                           | Analizando pitchers del día...
2026-06-25 12:00:35 | DEBUG    | pitching.get_pitcher_stats          | Casey Legumina: ERA temp=3.31 | ERA últ.2 sal.=3.913 | ERA efectiva=3.551
2026-06-25 12:00:36 | DEBUG    | pitching.get_pitcher_stats          | Seth Lugo: ERA temp=4.18 | ERA últ.3 sal.=5.745 | ERA efectiva=4.806
2026-06-25 12:00:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-06-25 12:00:38 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-06-25 12:00:39 | DEBUG    | pitching.get_pitcher_stats          | Bubba Chandler: ERA temp=4.44 | ERA últ.3 sal.=2.778 | ERA efectiva=3.775
2026-06-25 12:00:41 | DEBUG    | pitching.get_pitcher_stats          | Bryce Miller: ERA temp=2.0 | ERA últ.3 sal.=3.158 | ERA efectiva=2.463
2026-06-25 12:00:41 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-06-25 12:00:42 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Seattle Mariners: ERA=3.701 WHIP=1.255 IP=551.5 (18 relievers)
2026-06-25 12:00:43 | DEBUG    | pitching.get_pitcher_stats          | Landen Roupp: ERA temp=4.15 | ERA últ.3 sal.=4.091 | ERA efectiva=4.126
2026-06-25 12:00:44 | DEBUG    | pitching.get_pitcher_stats          | Jeffrey Springs: ERA temp=5.55 | ERA últ.3 sal.=12.541 | ERA efectiva=8.13
2026-06-25 12:00:45 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Francisco Giants: ERA=3.658 WHIP=1.235 IP=519.1 (15 relievers)
2026-06-25 12:00:45 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Athletics: ERA=4.487 WHIP=1.423 IP=523.5 (18 relievers)
2026-06-25 12:00:46 | DEBUG    | pitching.get_pitcher_stats          | Troy Melton: ERA temp=2.56 | ERA últ.3 sal.=3.316 | ERA efectiva=2.862
2026-06-25 12:00:48 | DEBUG    | pitching.get_pitcher_stats          | Tatsuya Imai: ERA temp=6.15 | ERA últ.3 sal.=3.706 | ERA efectiva=5.172
2026-06-25 12:00:48 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-06-25 12:00:49 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
