2026-06-30 12:00:11 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-06-30.log
2026-06-30 12:00:14 | INFO     | main.main                           | =======================================================
2026-06-30 12:00:14 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-06-30 12:00:14 | INFO     | main.main                           | =======================================================
2026-06-30 12:00:14 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-06-30 12:00:14 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-06-30 12:00:47 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-06-30 12:00:47 | INFO     | main.main                           | Analizando pitchers del día...
2026-06-30 12:00:50 | DEBUG    | pitching.get_pitcher_stats          | Trey Gibson: ERA temp=5.64 | ERA últ.3 sal.=7.557 | ERA efectiva=6.407
2026-06-30 12:00:51 | DEBUG    | pitching.get_pitcher_stats          | Erick Fedde: ERA temp=4.34 | ERA últ.3 sal.=4.154 | ERA efectiva=4.266
2026-06-30 12:00:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-06-30 12:00:53 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-06-30 12:00:54 | DEBUG    | pitching.get_pitcher_stats          | Tanner Bibee: ERA temp=3.78 | ERA últ.3 sal.=2.486 | ERA efectiva=3.262
2026-06-30 12:00:56 | DEBUG    | pitching.get_pitcher_stats          | Jacob deGrom: ERA temp=3.55 | ERA últ.3 sal.=5.0 | ERA efectiva=4.13
2026-06-30 12:00:56 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-06-30 12:00:57 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-06-30 12:00:58 | DEBUG    | pitching.get_pitcher_stats          | Cristopher Sánchez: ERA temp=2.13 | ERA últ.3 sal.=5.556 | ERA efectiva=3.5
2026-06-30 12:01:01 | DEBUG    | pitching.get_pitcher_stats          | Bubba Chandler: ERA temp=4.42 | ERA últ.3 sal.=2.761 | ERA efectiva=3.756
2026-06-30 12:01:02 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-06-30 12:01:02 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-06-30 12:01:04 | DEBUG    | pitching.get_pitcher_stats          | Cam Schlittler: ERA temp=1.62 | ERA últ.3 sal.=0.5 | ERA efectiva=1.172
2026-06-30 12:01:07 | DEBUG    | pitching.get_pitcher_stats          | Tarik Skubal: ERA temp=3.32 | ERA últ.3 sal.=5.26 | ERA efectiva=4.096
2026-06-30 12:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-06-30 12:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-06-30 12:01:10 | DEBUG    | pitching.get_pitcher_stats          | Kevin Gausman: ERA temp=4.36 | ERA últ.3 sal.=8.4 | ERA efectiva=5.976
2026-06-30 12:01:12 | DEBUG    | pitching.get_pitcher_stats          | Nolan McLean: ERA temp=4.03 | ERA últ.3 sal.=4.235 | ERA efectiva=4.112
2026-06-30 12:01:13 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-06-30 12:01:13 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-06-30 12:01:15 | DEBUG    | pitching.get_pitcher_stats          | Connelly Early: ERA temp=3.59 | ERA últ.3 sal.=5.0 | ERA efectiva=4.154
2026-06-30 12:01:16 | DEBUG    | pitching.get_pitcher_stats          | Cade Cavalli: ERA temp=4.0 | ERA últ.3 sal.=4.773 | ERA efectiva=4.309
2026-06-30 12:01:17 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-06-30 12:01:18 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-06-30 12:01:20 | DEBUG    | pitching.get_pitcher_stats          | Martín Pérez: ERA temp=3.0 | ERA últ.3 sal.=2.98 | ERA efectiva=2.992
2026-06-30 12:01:21 | DEBUG    | pitching.get_pitcher_stats          | Matthew Liberatore: ERA temp=5.56 | ERA últ.3 sal.=12.981 | ERA efectiva=8.136
2026-06-30 12:01:22 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-06-30 12:01:23 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-06-30 12:01:24 | DEBUG    | pitching.get_pitcher_stats          | Noah Cameron: ERA temp=4.5 | ERA últ.3 sal.=7.66 | ERA efectiva=5.764
2026-06-30 12:01:27 | DEBUG    | pitching.get_pitcher_stats          | Griffin Jax: ERA temp=3.33 | ERA últ.3 sal.=1.2 | ERA efectiva=2.478
2026-06-30 12:01:28 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=3.507 WHIP=1.243 IP=553.3 (13 relievers)
2026-06-30 12:01:29 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Tampa Bay Rays: ERA=3.618 WHIP=1.215 IP=577.9 (18 relievers)
2026-06-30 12:01:30 | DEBUG    | pitching.get_pitcher_stats          | Brandon Sproat: ERA temp=5.43 | ERA últ.3 sal.=2.961 | ERA efectiva=4.442
2026-06-30 12:01:32 | DEBUG    | pitching.get_pitcher_stats          | Rhett Lowder: ERA temp=4.81 | ERA últ.3 sal.=4.645 | ERA efectiva=4.744
2026-06-30 12:01:32 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
