2026-05-30 10:00:33 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-05-30.log
2026-05-30 10:00:34 | INFO     | main.main                           | =======================================================
2026-05-30 10:00:34 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-05-30 10:00:34 | INFO     | main.main                           | =======================================================
2026-05-30 10:00:34 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-05-30 10:00:34 | INFO     | statcast.cargar_statcast            | Stats avanzadas desde caché (30 pitching, 30 batting).
2026-05-30 10:00:34 | INFO     | main.main                           | Analizando pitchers del día...
2026-05-30 10:00:52 | DEBUG    | pitching.get_pitcher_stats          | Anthony Kay: ERA temp=3.96 | ERA últ.3 sal.=2.105 | ERA efectiva=3.218
2026-05-30 10:00:54 | DEBUG    | pitching.get_pitcher_stats          | Framber Valdez: ERA temp=4.28 | ERA últ.3 sal.=3.663 | ERA efectiva=4.033
2026-05-30 10:01:09 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-05-30 10:01:47 | WARNING  | bullpen._obtener_splits_equipo      | stats global falló (team_id=116): ('Connection aborted.', ConnectionAbortedError(10053, 'Se ha anulado una conexión establecida por el software en su equipo host', None, 10053, None))
2026-05-30 10:01:47 | WARNING  | bullpen.obtener_bullpen             | Sin datos de pitchers para Detroit Tigers — usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Foster Griffin': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD482C0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Michael King': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD486E0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Washington Nationals': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A300>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'San Diego Padres': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4ADE0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Kumar Rocker': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A750>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Seth Lugo': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A840>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Texas Rangers': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD48980>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Kansas City Royals': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD482C0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Brandon Young': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49A60>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Trey Yesavage': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B800>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Baltimore Orioles': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B140>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Toronto Blue Jays': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A9C0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Mitch Keller': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4AA50>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Bailey Ober': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49D30>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Pittsburgh Pirates': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49C70>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Minnesota Twins': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B4D0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Parker Messick': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B2F0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Sonny Gray': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A930>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Cleveland Guardians': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49460>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Boston Red Sox': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD48E60>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Drew Rasmussen': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD48DD0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Reid Detmers': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B8C0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Tampa Bay Rays': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4BCB0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Los Angeles Angels': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A780>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Christian Scott': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A480>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Tyler Phillips': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD486E0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'New York Mets': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4ABD0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Miami Marlins': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B2F0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Peter Lambert': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4AB10>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Brandon Sproat': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B110>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Houston Astros': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD492E0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Milwaukee Brewers': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD496D0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Kyle Leahy': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49280>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Ben Brown': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4BD70>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'St. Louis Cardinals': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD481A0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Chicago Cubs': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49A60>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Brady Singer': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49730>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Martín Pérez': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD48B30>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Cincinnati Reds': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4AC30>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Atlanta Braves': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4B0E0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Ryan Feltner': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A300>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Adrian Houser': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49B50>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Colorado Rockies': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49190>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'San Francisco Giants': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A270>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'J.T. Ginn': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD48EC0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | pitching.get_pitcher_stats          | Error obteniendo stats de 'Ryan Weathers': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD4A6C0>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)")). Usando defaults.
2026-05-30 10:01:48 | WARNING  | bullpen.obtener_bullpen             | lookup_team falló para 'Athletics': HTTPSConnectionPool(host='statsapi.mlb.com', port=443): Max retries exceeded with url: /api/v1/seasons/all?sportId=1 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000018CFAD49D90>: Failed to resolve 'statsapi.mlb.com' ([Errno 11001] getaddrinfo failed)"))
