start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-26T17:35:00,Baltimore Orioles,Boston Red Sox,Kyle Bradish,Connelly Early,3.739,3.684,0.4334,0.5666,7.5,Sin ventaja clara,0.0,0.0,Boston Red Sox,41.65,5.0,Baltimore Orioles,-24.23,0.0,Ninguno,1.76,2.5,2.1,1.95,2.58,1.88,5.0,0.0,0.91
2026-04-26T17:35:00,Atlanta Braves,Philadelphia Phillies,Chris Sale,Aaron Nola,5.008,3.056,0.6948,0.3052,8.5,Sin ventaja clara,0.0,0.0,Philadelphia Phillies,28.18,4.4,Atlanta Braves,8.89,4.68,Ninguno,1.49,4.2,1.95,2.1,1.95,2.0,4.4,4.68,0.937
2026-04-26T17:37:00,Toronto Blue Jays,Cleveland Guardians,Patrick Corbin,Slade Cecconi,5.106,3.984,0.5803,0.4197,8.5,Sin ventaja clara,0.0,0.0,Toronto Blue Jays,7.36,4.33,Toronto Blue Jays,25.33,5.0,Ninguno,1.85,2.3,2.03,2.0,2.81,2.45,4.33,5.0,0.98
2026-04-26T17:40:00,Cincinnati Reds,Detroit Tigers,Rhett Lowder,Keider Montero,3.802,4.37,0.3528,0.6472,9.0,Under,12.57,5.0,Detroit Tigers,32.68,5.0,Detroit Tigers,-19.02,0.0,ML: Detroit Tigers,1.94,2.05,1.95,1.98,2.82,2.2,5.0,0.0,0.983
2026-04-26T17:40:00,New York Mets,Colorado Rockies,Nolan McLean,Jose Quintana,4.463,3.091,0.6231,0.3769,6.5,Over,21.45,5.0,Colorado Rockies,24.38,5.0,New York Mets,-10.0,0.0,TOTAL: Over,1.39,3.3,1.99,2.11,1.89,2.0,5.0,0.0,0.864
2026-04-26T17:40:00,Tampa Bay Rays,Minnesota Twins,Griffin Jax,Simeon Woods Richardson,5.256,5.342,0.4272,0.5728,8.5,Over,49.72,5.0,Minnesota Twins,45.49,5.0,Minnesota Twins,-35.84,0.0,TOTAL: Over,1.71,2.54,2.05,2.03,2.41,1.95,5.0,0.0,0.91
2026-04-26T18:10:00,Chicago White Sox,Washington Nationals,Bryan Hudson,Foster Griffin,4.711,3.311,0.6233,0.3767,7.5,Sin ventaja clara,0.0,0.0,Chicago White Sox,16.56,5.0,Chicago White Sox,32.78,5.0,ML: Chicago White Sox,1.87,2.06,2.05,1.91,2.76,2.75,5.0,5.0,0.91
2026-04-26T18:10:00,Houston Astros,New York Yankees,Spencer Arrighetti,Luis Gil,4.003,4.135,0.4108,0.5892,9.5,Under,14.66,5.0,New York Yankees,5.47,3.46,New York Yankees,-31.05,0.0,TOTAL: Under,2.15,1.79,1.91,2.0,1.73,2.21,3.46,0.0,0.91
2026-04-26T18:10:00,Milwaukee Brewers,Pittsburgh Pirates,Kyle Harrison,Carmen Mlodzinski,3.81,3.762,0.433,0.567,7.5,Sin ventaja clara,0.0,0.0,Pittsburgh Pirates,16.23,5.0,Milwaukee Brewers,-17.19,0.0,ML: Pittsburgh Pirates,1.87,2.05,1.97,1.95,2.81,2.7,5.0,0.0,0.96
2026-04-26T18:15:00,St. Louis Cardinals,Seattle Mariners,Michael McGreevy,Emerson Hancock,3.43,3.987,0.3472,0.6528,8.5,Under,8.93,4.6,Seattle Mariners,16.85,5.0,Seattle Mariners,-17.22,0.0,ML: Seattle Mariners,2.17,1.79,1.92,1.97,1.71,2.3,5.0,0.0,0.883
2026-04-26T18:35:00,Texas Rangers,Athletics,Kumar Rocker,J.T. Ginn,4.96,4.383,0.5086,0.4914,8.5,Over,14.78,5.0,Athletics,0.74,0.35,Texas Rangers,4.27,1.21,TOTAL: Over,1.91,2.05,1.95,1.98,2.76,2.7,0.35,1.21,1.1
2026-04-26T20:05:00,Arizona Diamondbacks,San Diego Padres,Ryne Nelson,Michael King,2.672,4.576,0.1822,0.8178,15.0,Under,89.53,5.0,San Diego Padres,44.75,5.0,San Diego Padres,19.13,5.0,TOTAL: Under,2.19,1.77,2.01,1.91,1.81,2.15,5.0,5.0,0.91
2026-04-26T20:05:00,San Francisco Giants,Miami Marlins,Landen Roupp,Max Meyer,3.344,2.991,0.4744,0.5256,7.5,Under,11.57,5.0,Miami Marlins,11.43,5.0,San Francisco Giants,-13.95,0.0,TOTAL: Under,1.85,2.12,1.95,1.96,2.7,1.54,5.0,0.0,0.85
2026-04-26T20:10:00,Kansas City Royals,Los Angeles Angels,Seth Lugo,Reid Detmers,4.085,3.065,0.5753,0.4247,8.5,Under,14.12,5.0,Kansas City Royals,10.46,5.0,Kansas City Royals,18.52,5.0,TOTAL: Under,1.92,2.05,1.92,1.98,2.8,2.68,5.0,5.0,0.901
2026-04-26T20:10:00,Los Angeles Dodgers,Chicago Cubs,Justin Wrobleski,Shota Imanaga,3.549,3.169,0.4794,0.5206,9.0,Under,53.01,5.0,Chicago Cubs,8.81,4.04,Los Angeles Dodgers,-13.16,0.0,TOTAL: Under,1.83,2.09,1.95,2.0,2.65,2.65,4.04,0.0,0.91
