start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,edge_ml,pick_rl,valor_rl,stake_pct_rl,edge_rl,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-29T22:40:00,Cincinnati Reds,Atlanta Braves,Chris Paddack,Grant Holmes,4.217,6.991,0.1766,0.8234,9.5,Over,21.74,1.0,0.6087,0.6816,Atlanta Braves,2.08,0.0,0.2667,Atlanta Braves,12.74,0.0,0.2019,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",0efc76f321b5fc7e72e7e7641d5667f6,[],2.21,1.76,2.0,1.92,1.75,2.19,1.5,-1.5,0.0,0.0,1.08,Great American Ball Park,20.0,0.0
2026-05-29T22:45:00,Washington Nationals,San Diego Padres,Paxton Schultz,Lucas Giolito,3.456,4.843,0.2908,0.7092,9.5,Under,0.24,0.0,0.5389,0.5509,San Diego Padres,14.4,0.0,0.2283,San Diego Padres,31.21,0.0,-0.0322,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",8c92a04b11da0a1f6f84d1dfd48fbf9d,[],1.89,2.04,2.01,1.86,2.75,2.62,-1.5,-1.5,0.0,0.0,0.96,Nationals Park,20.0,0.0
2026-05-29T22:45:00,Pittsburgh Pirates,Minnesota Twins,Jared Jones,Taj Bradley,3.807,4.07,0.4571,0.5429,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Minnesota Twins,4.41,0.0,0.0847,Minnesota Twins,-11.08,0.0,0.1085,Ninguno,sin_pick,,"home_pitcher_fallback,home_runs_recent_missing,away_runs_recent_missing",765d27e397e587aa1885002dd751e9da,[],1.81,2.14,1.93,1.95,2.66,1.56,-1.5,1.5,0.0,0.0,0.94,PNC Park,20.0,0.0
2026-05-29T23:05:00,Baltimore Orioles,Toronto Blue Jays,Trevor Rogers,Adam Macko,4.122,6.253,0.228,0.772,9.0,Over,9.14,0.0,0.5512,0.588,Toronto Blue Jays,21.35,0.0,0.3112,Toronto Blue Jays,-11.08,0.0,0.2449,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",ddd9481c210fa90dea318ad8e185cf22,[],1.82,2.13,1.98,1.91,2.64,1.56,-1.5,1.5,0.0,0.0,1.0,Oriole Park at Camden Yards,20.0,0.0
2026-05-29T23:10:00,Cleveland Guardians,Boston Red Sox,Slade Cecconi,Tyler Samaniego,2.938,4.02,0.3171,0.6829,8.0,Under,8.39,0.0,0.5675,0.605,Boston Red Sox,14.9,0.0,0.2247,Boston Red Sox,-12.79,0.0,0.2025,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",d32dadf5a576ba276bac1775287783ba,[],1.81,2.14,1.96,1.91,2.7,1.53,-1.5,1.5,0.0,0.0,0.97,Progressive Field,20.0,0.0
2026-05-29T23:10:00,Tampa Bay Rays,Los Angeles Angels,Nick Martinez,Walbert Ureña,3.623,2.857,0.6372,0.3628,8.0,Under,17.71,1.0,0.6099,0.6757,Tampa Bay Rays,-2.56,0.0,0.046,Tampa Bay Rays,-4.02,0.0,-0.0297,Ninguno,descartado,limite_picks_diarios,"home_runs_recent_missing,away_runs_recent_missing",95952a4215c0c1d281c4dcbed7471d28,[],1.68,2.43,1.95,1.93,2.4,1.67,-1.5,1.5,0.0,0.0,0.91,Tropicana Field,20.0,0.0
2026-05-29T23:10:00,New York Mets,Miami Marlins,Freddy Peralta,Max Meyer,3.157,3.794,0.3896,0.6104,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,6.03,0.0,0.1194,Miami Marlins,24.77,0.0,-0.147,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",6493e9132fdd464eebd5031d8ad02c41,[],1.92,1.99,2.02,1.88,2.85,2.7,-1.5,-1.5,0.0,0.0,0.95,Citi Field,20.0,0.0
2026-05-29T23:15:00,St. Louis Cardinals,Chicago Cubs,Andre Pallante,Shota Imanaga,5.076,4.169,0.6328,0.3672,7.5,Over,18.42,0.5,0.62,0.704,St. Louis Cardinals,11.62,0.0,0.1822,St. Louis Cardinals,-5.38,0.0,0.2007,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",4018fbc29a76d2079208cbe8913a9de1,[],2.17,1.78,1.91,1.97,1.66,2.37,1.5,-1.5,0.0,0.0,0.97,Busch Stadium,20.0,0.0
2026-05-29T23:40:00,Chicago White Sox,Detroit Tigers,Erick Fedde,Troy Melton,3.308,5.308,0.2185,0.7815,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Detroit Tigers,14.84,0.0,0.2866,Detroit Tigers,39.63,0.0,0.0343,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",1587b2f52f5f1a490cebb01e524ec361,[],1.94,1.98,1.87,2.03,2.9,2.58,-1.5,-1.5,0.0,0.0,1.0,Rate Field,20.0,0.0
2026-05-30T00:05:00,Texas Rangers,Kansas City Royals,MacKenzie Gore,Stephen Kolek,4.105,4.381,0.4568,0.5432,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Kansas City Royals,4.62,0.0,0.0836,Texas Rangers,-11.06,0.0,-0.0932,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",57848c1e5cf12fb46c9c6e5c89c1022e,[],1.82,2.14,1.97,1.93,2.71,1.53,-1.5,1.5,0.0,0.0,1.1,Globe Life Field,20.0,0.0
