start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-09T19:07:00,Toronto Blue Jays,Los Angeles Angels,Trey Yesavage,Jack Kochanowicz,3.877,2.982,0.6543,0.3457,8.5,Under,12.83,0.0,0.5846,0.6197,Toronto Blue Jays,2.86,0.94,Los Angeles Angels,-0.24,0.0,Ninguno,sin_pick,,6dce302dd60dfcdf0b0f75b0c7526958,[],1.61,2.52,1.95,1.93,2.22,1.72,-1.5,1.5,0.94,0.0,0.98,Rogers Centre,21.0,0.0
2026-05-09T20:05:00,Baltimore Orioles,Athletics,Shane Baz,Aaron Civale,4.355,5.314,0.3633,0.6367,9.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Athletics,21.13,1.5,Athletics,17.4,1.5,Ninguno,sin_pick,,177cdddf981aae461d064d643293c5f4,[],1.83,2.1,1.98,1.91,2.65,2.55,-1.5,-1.5,1.5,1.5,1.02,Oriole Park at Camden Yards,23.0,0.0
2026-05-09T20:10:00,Cincinnati Reds,Houston Astros,Chase Burns,Spencer Arrighetti,4.166,4.525,0.4447,0.5553,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Houston Astros,20.67,1.5,Houston Astros,-1.98,0.0,Ninguno,sin_pick,,4cb11bc70bb01deb01ccc535f614ba59,[],1.67,2.39,1.92,1.98,2.35,1.69,-1.5,1.5,1.5,0.0,1.08,Great American Ball Park,18.5,0.0
2026-05-09T20:10:00,Boston Red Sox,Tampa Bay Rays,Payton Tolle,Nick Martinez,3.237,3.834,0.3974,0.6026,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Tampa Bay Rays,24.98,1.5,Tampa Bay Rays,-6.62,0.0,Ninguno,sin_pick,,a1e4d36a83b260dbab61a4f965b6abea,[],1.68,2.32,1.85,2.03,2.47,1.61,-1.5,1.5,1.5,0.0,1.053,Fenway Park,11.8,-0.06
2026-05-09T20:10:00,Miami Marlins,Washington Nationals,Janson Junk,Zack Littell,6.425,3.191,0.881,0.119,8.5,Over,11.49,0.0,0.5899,0.6223,Miami Marlins,11.52,1.5,Miami Marlins,37.46,1.5,Ninguno,sin_pick,,07fcb9aa4b08eff491227a6d817d08a7,[],1.64,2.41,1.89,2.0,2.37,1.65,-1.5,1.5,1.5,1.5,0.92,loanDepot park,21.0,0.0
2026-05-09T22:05:00,Philadelphia Phillies,Colorado Rockies,Aaron Nola,Kyle Freeland,5.347,5.123,0.5311,0.4689,8.5,Over,20.9,1.0,0.62,0.7175,Colorado Rockies,13.36,1.5,Colorado Rockies,2.08,0.55,TOTAL: Over,activo,aprobado,3d093f3fea09b2f77b6ccf058d9061ea,[],1.56,2.6,1.95,1.98,2.2,1.76,-1.5,1.5,1.5,0.55,1.03,Citizens Bank Park,20.7,0.0
2026-05-09T22:10:00,Cleveland Guardians,Minnesota Twins,Tanner Bibee,Joe Ryan,4.243,4.311,0.4894,0.5106,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Minnesota Twins,2.27,0.43,Minnesota Twins,2.57,0.32,Ninguno,sin_pick,,9fd60ef171dd7d6b753c07fe32aa37f6,[],1.87,2.05,1.98,1.93,2.76,2.63,-1.5,-1.5,0.43,0.32,0.96,Progressive Field,16.9,-0.03
2026-05-09T23:05:00,Texas Rangers,Chicago Cubs,Jack Leiter,Edward Cabrera,4.672,6.1,0.3122,0.6878,8.5,Over,35.38,1.0,0.6386,0.7471,Chicago Cubs,14.43,1.5,Chicago Cubs,5.16,0.82,TOTAL: Over,activo,aprobado,0d5568f7e3f7c4adba722775d2895494,[],2.18,1.79,2.12,1.88,1.71,2.26,1.5,-1.5,1.5,0.82,1.122,Globe Life Field,27.6,0.02
2026-05-09T23:10:00,Kansas City Royals,Detroit Tigers,Michael Wacha,Burch Smith,3.156,4.557,0.2808,0.7192,9.5,Under,13.87,0.0,0.5962,0.6325,Detroit Tigers,38.46,1.5,Detroit Tigers,-6.04,0.0,Ninguno,sin_pick,,dd95987c051582f99dbe07d5424b2a03,[],1.74,2.23,2.0,1.91,2.49,1.62,-1.5,1.5,1.5,0.0,0.99,Kauffman Stadium,20.5,0.0
2026-05-09T23:10:00,Chicago White Sox,Seattle Mariners,Anthony Kay,Luis Castillo,5.233,5.998,0.3988,0.6012,9.5,Over,23.38,1.0,0.62,0.684,Seattle Mariners,6.03,1.45,Chicago White Sox,-1.4,0.0,TOTAL: Over,activo,aprobado,6c26284a3ba72def6e7e0c9db9893fc8,[],2.14,1.83,1.99,1.88,1.7,2.29,1.5,-1.5,1.45,0.0,1.02,Rate Field,23.0,0.0
