start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-01T17:15:00,St. Louis Cardinals,New York Mets,Matthew Liberatore,Freddy Peralta,4.221,2.927,0.247,0.753,7.5,Sin ventaja clara,0.0,0.0,New York Mets,38.64,5.0,New York Mets,79.33,5.0,Ninguno,2.08,1.84,2.03,2.07,1.62,2.38,5.0,5.0,0.97
2026-04-01T19:40:00,Arizona Diamondbacks,Detroit Tigers,Zac Gallen,Tarik Skubal,3.145,3.873,0.69,0.31,9.0,Under,50.44,5.0,Arizona Diamondbacks,44.28,5.0,Arizona Diamondbacks,13.91,5.0,TOTAL: Under,2.09,1.83,1.99,2.07,1.65,2.3,5.0,5.0,1.02
2026-04-01T23:40:00,Kansas City Royals,Minnesota Twins,Noah Cameron,Joe Ryan,3.488,4.357,0.794,0.206,7.5,Sin ventaja clara,0.0,0.0,Kansas City Royals,57.26,5.0,Kansas City Royals,26.29,5.0,ML: Kansas City Royals,1.98,1.93,2.07,2.0,1.59,2.5,5.0,5.0,0.99
2026-04-02T00:20:00,Los Angeles Dodgers,Cleveland Guardians,Yoshinobu Yamamoto,Gavin Williams,5.219,2.794,0.196,0.804,8.0,Sin ventaja clara,0.0,0.0,Cleveland Guardians,182.99,5.0,Cleveland Guardians,80.89,5.0,Ninguno,1.35,3.52,1.99,1.91,1.77,2.25,5.0,5.0,1.01
