fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-05-09,Chicago Cubs @ Texas Rangers,TOTAL,Over 8.5,2.12,0.6386,35.38,lose,-1.0,1,9.22,922.48,913.26,-9.22,-100.0,,2026-06-05 14:54:18
2026-05-09,Seattle Mariners @ Chicago White Sox,TOTAL,Over 9.5,1.99,0.62,23.38,lose,-1.0,1,9.13,913.26,904.13,-9.13,-100.0,,2026-06-05 14:54:18
2026-05-15,Baltimore Orioles @ Washington Nationals,TOTAL,Over 9.5,1.98,0.62,22.76,lose,-1.0,1,9.04,904.13,895.09,-9.04,-100.0,,2026-06-05 14:54:18
2026-05-15,Chicago Cubs @ Chicago White Sox,TOTAL,Over 8.5,1.98,0.6386,26.44,win,0.98,1,8.95,895.09,903.86,8.77,97.99,,2026-06-05 14:54:18
2026-05-15,Arizona Diamondbacks @ Colorado Rockies,TOTAL,Over 11.5,1.92,0.6386,22.61,lose,-1.0,1,9.04,903.86,894.82,-9.04,-100.0,,2026-06-05 14:54:18
2026-05-16,Cincinnati Reds @ Cleveland Guardians,TOTAL,Over 8.5,1.98,0.6117,21.12,win,0.98,1,8.95,894.82,903.59,8.77,97.99,,2026-06-05 14:54:18
2026-05-28,Minnesota Twins @ Chicago White Sox,TOTAL,Over 8.0,1.98,0.62,22.76,null,-1.0,1,9.04,903.59,903.59,0.0,0.0,,2026-06-05 14:54:18
2026-05-28,Chicago Cubs @ Pittsburgh Pirates,TOTAL,Over 7.5,1.95,0.62,20.9,win,0.95,1,9.04,903.59,912.18,8.59,95.02,,2026-06-05 14:54:18
2026-05-29,Atlanta Braves @ Cincinnati Reds,TOTAL,Over 9.5,2.0,0.6087,21.74,win,1.0,1,9.12,912.18,921.3,9.12,100.0,,2026-06-05 14:54:18
2026-05-29,Chicago Cubs @ St. Louis Cardinals,TOTAL,Over 7.5,1.91,0.62,18.42,win,0.91,1,9.21,921.3,929.68,8.38,90.99,,2026-06-05 14:54:18
2026-05-29,San Francisco Giants @ Colorado Rockies,TOTAL,Over 10.5,1.96,0.6386,25.17,win,0.96,1,9.3,929.68,938.61,8.93,96.02,,2026-06-05 14:54:18
2026-06-01,Kansas City Royals @ Cincinnati Reds,TOTAL,Over 9.5,2.0,0.62,24.0,win,1.0,1,9.39,938.61,948.0,9.39,100.0,,2026-06-05 14:54:18
2026-06-01,Colorado Rockies @ Los Angeles Angels,TOTAL,Over 8.0,1.89,0.62,17.18,win,0.89,1,9.48,948.0,956.44,8.44,89.03,,2026-06-05 14:54:18
2026-06-01,New York Mets @ Seattle Mariners,TOTAL,Under 7.0,2.07,0.577,19.44,win,1.07,1,9.56,956.44,966.67,10.23,107.01,,2026-06-05 14:54:18
2026-06-02,Athletics @ Chicago Cubs,TOTAL,Over 7.5,2.08,0.62,28.96,lose,-1.0,1,9.67,966.67,957.0,-9.67,-100.0,,2026-06-05 14:54:18
2026-06-02,Pittsburgh Pirates @ Houston Astros,ML,Pittsburgh Pirates,2.01,0.6283,7.7,win,1.01,1,9.57,957.0,966.67,9.67,101.04,,2026-06-05 14:54:18
2026-06-03,Athletics @ Chicago Cubs,TOTAL,Over 8.5,1.88,0.62,16.56,win,0.88,1,9.67,966.67,975.18,8.51,88.0,,2026-06-05 14:54:18
2026-06-03,Colorado Rockies @ Los Angeles Angels,TOTAL,Over 8.5,1.88,0.62,16.56,win,0.88,1,9.75,975.18,983.76,8.58,88.0,,2026-06-05 14:54:18
2026-06-05,Milwaukee Brewers @ Colorado Rockies,RL,Colorado Rockies +1.5,1.88,0.6635,6.5,pendiente,0.0,1,9.84,983.76,0.0,0.0,0.0,,
2026-06-05,Tampa Bay Rays @ Miami Marlins,TOTAL,Over 7.5,1.87,0.62,15.94,pendiente,0.0,1,9.84,983.76,0.0,0.0,0.0,2026-06-05 15:00:35,
