fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
04/04/2026,Tampa Bay Rays @ Minnesota Twins,TOTAL,Over 7.5,1.93,0.52,79.81,win,0.93,1,10.66,1065.55,1075.46,9.91,92.96,,2026-06-05 14:54:18
04/04/2026,Atlanta Braves @ Arizona Diamondbacks,TOTAL,Under 9.5,1.93,0.52,41.44,win,0.93,1,10.75,1075.46,1085.46,10.0,93.02,,2026-06-05 14:54:18
04/04/2026,Philadelphia Phillies @ Colorado Rockies,TOTAL,Over 10.5,1.98,0.52,48.15,lose,-1.0,1,10.85,1085.46,1074.61,-10.85,-100.0,,2026-06-05 14:54:18
04/04/2026,New York Mets @ San Francisco Giants,TOTAL,Under 8.0,2.06,0.52,62.25,lose,-1.0,1,10.75,1074.61,1063.86,-10.75,-100.0,,2026-06-05 14:54:18
05/04/2026,Los Angeles Dodgers @ Washington Nationals,RL,Washington Nationals,1.99,0.574,14.16,lose,-1.0,1,10.64,1063.86,1053.22,-10.64,-100.0,,2026-06-05 14:54:18
05/04/2026,Baltimore Orioles @ Pittsburgh Pirates,TOTAL,Over 8.0,2.08,0.52,26.55,win,1.08,1,10.53,1053.22,1064.59,11.37,107.98,,2026-06-05 14:54:18
05/04/2026,San Diego Padres @ Boston Red Sox,RL,Boston Red Sox,2.32,0.663,53.74,lose,-1.0,1,10.65,1064.59,1053.94,-10.65,-100.0,,2026-06-05 14:54:18
05/04/2026,Miami Marlins @ New York Yankees,TOTAL,Over 8.5,1.95,0.52,20.12,win,0.95,1,10.54,1053.94,1063.95,10.01,94.97,,2026-06-05 14:54:18
05/04/2026,Toronto Blue Jays @ Chicago White Sox,ML,Chicago White Sox,2.48,0.659,63.48,win,1.48,1,10.64,1063.95,1079.7,15.75,148.03,,2026-06-05 14:54:18
05/04/2026,Milwaukee Brewers @ Kansas City Royals,ML,Milwaukee Brewers,2.06,0.588,21.17,win,1.06,1,10.8,1079.7,1091.15,11.45,106.02,,2026-06-05 14:54:18
05/04/2026,Cincinnati Reds @ Texas Rangers,ML,Texas Rangers,1.85,0.672,24.29,lose,-1.0,1,10.91,1091.15,1080.24,-10.91,-100.0,,2026-06-05 14:54:18
05/04/2026,Houston Astros @ Athletics,ML,Athletics,2.22,0.902,100.15,win,1.22,1,10.8,1080.24,1093.42,13.18,122.04,,2026-06-05 14:54:18
05/04/2026,New York Mets @ San Francisco Giants,ML,San Francisco Giants,1.87,0.88,64.56,lose,-1.0,1,10.93,1093.42,1082.49,-10.93,-100.0,,2026-06-05 14:54:18
05/04/2026,Seattle Mariners @ Los Angeles Angels,TOTAL,Under 9.0,2.0,0.52,21.22,lose,-1.0,1,10.82,1082.49,1071.67,-10.82,-100.0,,2026-06-05 14:54:18
05/04/2026,Atlanta Braves @ Arizona Diamondbacks,ML,Arizona Diamondbacks,1.96,0.933,82.92,win,0.96,1,10.72,1071.67,1081.96,10.29,95.99,,2026-06-05 14:54:18
05/04/2026,St. Louis Cardinals @ Detroit Tigers,TOTAL,Over 8.0,1.93,0.52,15.03,null,0.0,1,10.82,1081.96,1081.96,0.0,0.0,,2026-06-05 14:54:18
2026-04-07,Kansas City Royals @ Cleveland Guardians,TOTAL,Over 4.5,1.96,0.52,43.92,lose,-1.0,1,10.82,1081.96,1071.14,-10.82,-100.0,,2026-06-05 14:54:18
2026-04-07,Baltimore Orioles @ Chicago White Sox,TOTAL,Over 6.5,2.19,0.52,80.75,lose,-1.0,1,10.71,1071.14,1060.43,-10.71,-100.0,,2026-06-05 14:54:18
