start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,edge_ml,pick_rl,valor_rl,stake_pct_rl,edge_rl,stake_pct_recomendado,staking_model,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-06-09T22:35:00,Baltimore Orioles,Seattle Mariners,Trevor Rogers,Logan Gilbert,3.648,5.262,0.269,0.731,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Seattle Mariners,6.14,0.0,0.1955,Seattle Mariners,5.35,0.0,0.0997,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",1ca04df3ce70b1f02075d8e4a5b2cb52,[],2.11,1.83,1.85,2.05,1.65,2.36,1.5,-1.5,0.0,0.0,1.0,Oriole Park at Camden Yards,20.0,0.0
2026-06-09T22:40:00,Pittsburgh Pirates,Los Angeles Dodgers,Paul Skenes,Eric Lauer,4.409,3.94,0.5737,0.4263,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Pittsburgh Pirates,1.2,0.0,0.0545,Pittsburgh Pirates,23.96,0.0,-0.1324,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",5122e6331d2fde8deffb8ad28d89af2d,[],1.88,2.03,1.96,1.91,2.8,2.68,-1.5,-1.5,0.0,0.0,0.94,PNC Park,20.0,0.0
2026-06-09T22:40:00,Tampa Bay Rays,Boston Red Sox,Nick Martinez,Payton Tolle,3.344,3.602,0.4548,0.5452,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Boston Red Sox,-0.61,0.0,0.021,Boston Red Sox,-8.2,0.0,-0.0644,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",b227664a56bdeff1970b8f4a2b3073fe,[],2.06,1.87,2.03,1.87,1.57,2.58,1.5,-1.5,0.0,0.0,0.91,Tropicana Field,20.0,0.0
2026-06-09T22:40:00,Detroit Tigers,Minnesota Twins,Troy Melton,Taj Bradley,4.322,3.028,0.7093,0.2907,8.5,Under,1.86,0.0,0.5333,0.5467,Detroit Tigers,3.82,0.0,0.159,Detroit Tigers,6.64,0.0,0.0953,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",f03156629a6e1e4d346ffc42fb0c0bdf,[],1.79,2.19,2.0,1.91,2.65,1.55,-1.5,1.5,0.0,0.0,0.93,Comerica Park,20.0,0.0
2026-06-09T22:40:00,Miami Marlins,Arizona Diamondbacks,Max Meyer,Zac Gallen,5.016,3.407,0.7369,0.2631,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,-1.98,0.0,0.1573,Miami Marlins,8.99,0.0,0.128,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",c4d4cce67008409b6416dc0e03e55471,[],1.69,2.33,1.88,2.02,2.55,1.58,-1.5,1.5,0.0,0.0,0.92,loanDepot park,20.0,0.0
2026-06-09T22:40:00,Cleveland Guardians,New York Yankees,Slade Cecconi,Gerrit Cole,3.154,4.494,0.2884,0.7116,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,New York Yankees,7.88,0.0,0.1861,New York Yankees,2.04,0.0,0.0578,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",6f233a34a63975436f2e7894b5860b90,[],2.06,1.86,1.88,2.0,1.66,2.35,1.5,-1.5,0.0,0.0,0.97,Progressive Field,20.0,0.0
2026-06-09T23:07:00,Toronto Blue Jays,Philadelphia Phillies,Dylan Cease,Zack Wheeler,3.402,3.778,0.4355,0.5645,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Philadelphia Phillies,3.34,0.0,0.0696,Philadelphia Phillies,-5.85,0.0,-0.0348,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",65036e67b5aea5d1efb20c275381e2c4,[],1.95,1.99,2.03,1.85,1.54,2.65,1.5,-1.5,0.0,0.0,0.98,Rogers Centre,20.0,0.0
2026-06-09T23:10:00,New York Mets,St. Louis Cardinals,Freddy Peralta,Dustin May,3.98,3.907,0.5119,0.4881,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,St. Louis Cardinals,-0.32,0.0,0.0275,New York Mets,-8.08,0.0,-0.0575,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",d4b1fc2e508af0ab9a2ac9381656c269,[],1.81,2.12,1.85,2.03,2.71,1.52,-1.5,1.5,0.0,0.0,0.95,Citi Field,20.0,0.0
2026-06-09T23:40:00,Kansas City Royals,Texas Rangers,Stephen Kolek,Nathan Eovaldi,4.314,3.934,0.5603,0.4397,9.5,Under,1.76,0.0,0.5413,0.558,Kansas City Royals,4.4,0.0,0.0935,Kansas City Royals,-4.81,0.0,0.1657,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",27f5837fda858059318115b8f615ce81,[],2.09,1.83,1.99,1.88,1.67,2.32,1.5,-1.5,0.0,0.0,0.99,Kauffman Stadium,20.0,0.0
2026-06-09T23:40:00,Chicago White Sox,Atlanta Braves,Erick Fedde,Grant Holmes,4.342,4.94,0.4117,0.5883,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Atlanta Braves,-2.56,0.0,0.0073,Chicago White Sox,4.91,0.0,0.0995,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",e35247af0713e982e58edd85657dbae9,[],2.33,1.68,1.85,2.03,1.89,2.05,1.5,-1.5,0.0,0.0,1.0,Rate Field,20.0,0.0
2026-06-10T00:40:00,Colorado Rockies,Chicago Cubs,Tomoyuki Sugano,Colin Rea,6.134,6.748,0.4244,0.5756,12.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Colorado Rockies,-0.03,0.0,0.02,Colorado Rockies,4.03,0.0,0.0932,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",3b917225da82c6c937c963aa47187645,[],2.43,1.65,1.95,1.93,1.93,1.98,1.5,-1.5,0.0,0.0,1.34,Coors Field,20.0,0.0
2026-06-10T01:38:00,Los Angeles Angels,Houston Astros,Walbert Ureña,Kai-Wei Teng,4.351,4.174,0.5276,0.4724,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Los Angeles Angels,2.67,0.0,0.0631,Los Angeles Angels,-5.95,0.0,0.128,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",2d3e8521a55eeeae51961cf0d8ebd6c6,[],2.11,1.83,1.88,2.0,1.65,2.4,1.5,-1.5,0.0,0.0,1.0,Angel Stadium,20.0,0.0
2026-06-10T01:40:00,San Diego Padres,Cincinnati Reds,Lucas Giolito,Chase Burns,3.802,4.347,0.4133,0.5867,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Cincinnati Reds,1.64,0.0,0.0574,Cincinnati Reds,-4.43,0.0,-0.0268,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",e2d199125ede80ca2e35bc0c0669f294,[],2.08,1.85,2.07,1.82,1.61,2.5,1.5,-1.5,0.0,0.0,1.0,Petco Park,20.0,0.0
2026-06-10T01:45:00,San Francisco Giants,Washington Nationals,Adrian Houser,Andrew Alvarez,4.257,4.954,0.397,0.603,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Washington Nationals,4.9,0.0,0.1043,Washington Nationals,23.16,0.0,-0.1254,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",f2761470e60cb7a1fa947535ccba356f,[],1.95,1.96,1.99,1.88,2.79,2.6,-1.5,-1.5,0.0,0.0,0.93,Oracle Park,20.0,0.0
2026-06-10T02:05:00,Athletics,Milwaukee Brewers,J.T. Ginn,Robert Gasser,4.315,4.3,0.5023,0.4977,13.0,Under,25.86,1.0,0.62,0.902,Milwaukee Brewers,-1.81,0.0,0.0028,Athletics,-5.95,0.0,0.108,1,IntegerPercentStaking,TOTAL: Under,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",53115c407b5594a84cae2269c1005ab0,[],1.94,1.98,1.91,2.03,1.65,2.4,1.5,-1.5,0.0,0.0,1.0,Las Vegas Ballpark,20.0,0.0
