start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-10T18:20:00,Chicago Cubs,Pittsburgh Pirates,Shota Imanaga,Carmen Mlodzinski,4.165,4.824,0.511,0.489,6.5,Over,44.98,5.0,Pittsburgh Pirates,14.94,5.0,Chicago Cubs,32.84,5.0,TOTAL: Over,1.68,2.35,1.83,2.05,2.6,1.59,5.0,5.0,1.05
2026-04-10T22:40:00,Philadelphia Phillies,Arizona Diamondbacks,Jesús Luzardo,Michael Soroka,3.236,3.753,0.802,0.198,8.0,Under,18.87,5.0,Philadelphia Phillies,29.1,5.0,Philadelphia Phillies,86.03,5.0,RL: Philadelphia Phillies,1.61,2.49,1.91,1.98,2.32,1.69,5.0,5.0,1.01
2026-04-10T22:40:00,Detroit Tigers,Miami Marlins,Keider Montero,Chris Paddack,5.524,4.499,0.037,0.963,8.5,Over,29.26,5.0,Miami Marlins,117.56,5.0,Miami Marlins,54.99,5.0,TOTAL: Over,1.72,2.26,1.93,1.96,2.46,1.61,5.0,5.0,0.93
2026-04-10T22:45:00,Cincinnati Reds,Los Angeles Angels,Chase Burns,Jack Kochanowicz,4.434,3.096,0.142,0.858,9.0,Under,23.67,5.0,Los Angeles Angels,123.0,5.0,Los Angeles Angels,51.81,5.0,TOTAL: Under,1.57,2.6,2.03,1.88,2.22,1.77,5.0,5.0,1.08
2026-04-10T23:07:00,Toronto Blue Jays,Minnesota Twins,Patrick Corbin,Simeon Woods Richardson,3.348,4.135,0.66,0.34,9.0,Under,26.88,5.0,Toronto Blue Jays,16.1,5.0,Toronto Blue Jays,64.91,5.0,RL: Toronto Blue Jays,1.76,2.2,1.98,1.91,2.5,1.59,5.0,5.0,0.98
2026-04-10T23:10:00,New York Mets,Athletics,Clay Holmes,J.T. Ginn,5.066,2.368,0.141,0.859,7.5,Sin ventaja clara,0.0,0.0,Athletics,98.32,5.0,Athletics,39.08,5.0,Ninguno,1.69,2.31,2.03,2.0,2.45,1.62,5.0,5.0,0.95
2026-04-10T23:15:00,Baltimore Orioles,San Francisco Giants,Shane Baz,Landen Roupp,4.015,3.735,0.414,0.586,8.5,Sin ventaja clara,0.0,0.0,San Francisco Giants,24.74,5.0,San Francisco Giants,49.34,5.0,ML: San Francisco Giants,1.81,2.13,1.95,1.93,2.66,2.55,5.0,5.0,0.95
2026-04-10T23:15:00,Atlanta Braves,Cleveland Guardians,Bryce Elder,Slade Cecconi,4.938,2.748,0.069,0.931,8.5,Sin ventaja clara,0.0,0.0,Cleveland Guardians,106.79,5.0,Cleveland Guardians,46.24,5.0,Ninguno,1.76,2.22,1.93,1.98,2.55,1.57,5.0,5.0,1.03
2026-04-10T23:40:00,Kansas City Royals,Chicago White Sox,Kris Bubic,Davis Martin,3.844,4.007,0.598,0.402,7.5,Sin ventaja clara,0.0,0.0,Chicago White Sox,2.51,0.81,Kansas City Royals,35.74,5.0,RL: Kansas City Royals,1.58,2.55,2.05,1.95,2.27,1.71,0.81,5.0,0.99
2026-04-10T23:40:00,Milwaukee Brewers,Washington Nationals,Chad Patrick,Jake Irvin,7.228,3.3,0.009,0.991,8.0,Over,43.23,5.0,Washington Nationals,171.62,5.0,Washington Nationals,83.39,5.0,TOTAL: Over,1.52,2.74,1.98,2.05,2.08,1.85,5.0,5.0,0.96
2026-04-11T00:15:00,St. Louis Cardinals,Boston Red Sox,Dustin May,Connelly Early,3.68,6.153,,,7.5,Over,52.87,5.0,Boston Red Sox,,,Boston Red Sox,,,TOTAL: Over,2.23,1.74,2.0,1.91,1.7,2.3,,,0.97
2026-04-11T01:40:00,San Diego Padres,Colorado Rockies,Walker Buehler,Tomoyuki Sugano,3.186,5.404,0.986,0.014,8.5,Sin ventaja clara,0.0,0.0,San Diego Padres,54.74,5.0,San Diego Padres,116.83,5.0,RL: San Diego Padres,1.57,2.6,1.95,1.99,2.2,1.75,5.0,5.0,1.0
2026-04-11T01:40:00,Seattle Mariners,Houston Astros,Emerson Hancock,Tatsuya Imai,3.96,2.927,0.151,0.849,7.5,Sin ventaja clara,0.0,0.0,Houston Astros,91.08,5.0,Houston Astros,32.48,5.0,Ninguno,1.74,2.25,1.96,1.91,2.63,1.56,5.0,5.0,0.94
2026-04-11T02:10:00,Los Angeles Dodgers,Texas Rangers,Tyler Glasnow,Kumar Rocker,4.278,3.578,0.369,0.631,8.5,Sin ventaja clara,0.0,0.0,Texas Rangers,92.44,5.0,Texas Rangers,26.19,5.0,Ninguno,1.44,3.05,1.91,2.0,1.91,2.0,5.0,5.0,1.01
