start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,edge_ml,pick_rl,valor_rl,stake_pct_rl,edge_rl,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-06-01T22:40:00,Tampa Bay Rays,Detroit Tigers,Griffin Jax,Ty Madden,3.362,3.344,0.5032,0.4968,8.0,Under,11.93,0.0,0.5922,0.6424,Detroit Tigers,7.53,0.0,0.0973,Detroit Tigers,-2.53,0.0,0.1476,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",2787e023f11e64827987a41be824a63b,[],1.65,2.48,1.97,1.89,2.3,1.71,-1.5,1.5,0.0,0.0,0.91,Tropicana Field,20.0,0.0
2026-06-01T22:45:00,Washington Nationals,Miami Marlins,Cade Cavalli,Sandy Alcantara,5.017,4.499,0.5756,0.4244,8.0,Over,7.64,0.0,0.5756,0.6101,Washington Nationals,-1.17,0.0,0.0117,Washington Nationals,-3.8,0.0,-0.0198,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",ff01c7f99eb2c7a83211f3386020fbe8,[],1.74,2.25,1.87,2.02,2.5,1.61,-1.5,1.5,0.0,0.0,0.96,Nationals Park,20.0,0.0
2026-06-01T23:10:00,Cincinnati Reds,Kansas City Royals,Lyon Richardson,Luinder Avila,6.337,7.088,0.4098,0.5902,9.5,Over,24.0,1.0,0.62,0.8605,Kansas City Royals,12.78,0.0,0.1602,Kansas City Royals,-4.81,0.0,0.1367,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",c49d57a0f27c1800a2c7bbdabba612fe,[],1.75,2.32,2.0,1.88,2.46,1.67,-1.5,1.5,0.0,0.0,1.08,Great American Ball Park,20.0,0.0
2026-06-01T23:40:00,Milwaukee Brewers,San Francisco Giants,Shane Drohan,Landen Roupp,3.999,4.436,0.4316,0.5684,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,San Francisco Giants,9.92,0.0,0.1455,San Francisco Giants,-10.51,0.0,0.1293,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",05d72d7bf55653292200aa8a6848aec3,[],1.7,2.32,2.05,1.83,2.58,1.57,-1.5,1.5,0.0,0.0,0.96,American Family Field,20.0,0.0
2026-06-01T23:45:00,St. Louis Cardinals,Texas Rangers,Michael McGreevy,Jacob deGrom,4.531,4.197,0.5514,0.4486,7.5,Over,16.9,1.0,0.5845,0.6433,St. Louis Cardinals,3.79,0.0,0.0807,St. Louis Cardinals,-7.66,0.0,0.1339,Ninguno,descartado,limite_picks_diarios,"home_runs_recent_missing,away_runs_recent_missing",6e4eb3c6a07da4b8a22a67806cd6a7f0,[],2.08,1.85,2.0,1.91,1.62,2.45,1.5,-1.5,0.0,0.0,0.97,Busch Stadium,20.0,0.0
2026-06-02T01:38:00,Los Angeles Angels,Colorado Rockies,José Soriano,Kyle Freeland,6.736,4.531,0.7693,0.2307,8.0,Over,17.18,0.5,0.62,0.7909,Los Angeles Angels,-11.26,0.0,0.131,Los Angeles Angels,4.85,0.0,0.1101,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",c81dc56167111218eb7d369db230ad62,[],1.53,2.7,1.89,2.0,2.06,1.83,-1.5,1.5,0.0,0.0,1.0,Angel Stadium,20.0,0.0
2026-06-02T01:40:00,Arizona Diamondbacks,Los Angeles Dodgers,Eduardo Rodriguez,Emmet Sheehan,4.336,3.968,0.5582,0.4418,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Arizona Diamondbacks,10.81,0.0,0.1543,Arizona Diamondbacks,6.59,0.0,0.2221,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",f2e11191da4c1bb89d2c6b19a7536d9d,[],2.42,1.64,1.87,2.01,1.87,2.05,1.5,-1.5,0.0,0.0,1.02,Chase Field,20.0,0.0
2026-06-02T01:40:00,Seattle Mariners,New York Mets,Emerson Hancock,Austin Warren,2.848,2.923,0.4853,0.5147,7.0,Under,19.44,1.0,0.577,0.643,New York Mets,2.54,0.0,0.0615,Seattle Mariners,-13.07,0.0,-0.1067,TOTAL: Under,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",daef1f1e03324e709f683a56a6ad0487,[],1.79,2.16,1.83,2.07,2.72,1.51,-1.5,1.5,0.0,0.0,0.94,T-Mobile Park,20.0,0.0
