start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,rl_home_prob,rl_away_prob,linea_total,pick_total,pick_ml,valor_ml,pick_rl,valor_rl,mejor_pick,cuota_home,cuota_away,cuota_total_over,cuota_total_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl
2025-07-05T18:10:00,Minnesota Twins,Tampa Bay Rays,Cole Sands,Taj Bradley,4.689,4.95,0.4019,0.5981,0.2823,0.3417,8.0,Over,Tampa Bay Rays,20.82,Sin datos,0.0,ML: Tampa Bay Rays,,2.02,1.83,1.98,,,20.41,0.0
2025-07-05T18:20:00,Chicago Cubs,St. Louis Cardinals,Drew Pomeranz,Matthew Liberatore,5.67,8.316,0.1976,0.8024,0.1305,0.5955,7.5,Over,St. Louis Cardinals,113.44,St. Louis Cardinals,7.19,ML: St. Louis Cardinals,,2.66,1.82,2.0,,1.8,68.34,8.99
2025-07-05T19:07:00,Toronto Blue Jays,Los Angeles Angels,Max Scherzer,Jack Kochanowicz,4.122,4.716,0.355,0.645,0.2374,0.3765,9.0,Sin ventaja clara,Los Angeles Angels,63.83,Sin datos,0.0,ML: Los Angeles Angels,,2.54,1.87,1.95,,,41.45,0.0
2025-07-05T20:05:00,Philadelphia Phillies,Cincinnati Reds,Ranger Suárez,Nick Lodolo,5.778,7.209,0.2941,0.7059,0.205,0.4828,8.5,Over,Cincinnati Reds,104.71,Sin datos,0.0,ML: Cincinnati Reds,,2.9,1.82,2.0,,,55.11,0.0
2025-07-05T20:10:00,Arizona Diamondbacks,Kansas City Royals,Ryne Nelson,Michael Wacha,5.553,5.949,0.3943,0.6057,0.2852,0.3687,9.0,Over,Kansas City Royals,27.2,Sin datos,0.0,ML: Kansas City Royals,,2.1,1.83,1.98,,,24.72,0.0
2025-07-05T20:10:00,Atlanta Braves,Baltimore Orioles,Aaron Bummer,Dean Kremer,4.923,5.931,0.3223,0.6777,0.2205,0.4365,,Sin datos,Baltimore Orioles,38.25,Sin datos,0.0,ML: Baltimore Orioles,,2.04,,,,,36.78,0.0
2025-07-05T20:10:00,New York Mets,New York Yankees,Frankie Montas,Carlos Rodón,6.03,3.474,0.7468,0.2532,0.6296,0.09,18.5,Under,Sin datos,0.0,New York Mets,151.84,RL: New York Mets,,,2.0,1.76,4.0,,0.0,50.61
2025-07-05T20:10:00,Miami Marlins,Milwaukee Brewers,Cal Quantrill,Chad Patrick,5.832,4.14,0.6453,0.3547,0.5198,0.1528,8.0,Over,Miami Marlins,31.64,Sin datos,0.0,ML: Miami Marlins,2.04,,1.93,1.89,,,30.42,0.0
2025-07-05T23:15:00,Cleveland Guardians,Detroit Tigers,Logan Allen,Casey Mize,6.426,5.157,0.5859,0.4141,0.4676,0.2052,9.0,Over,Cleveland Guardians,27.73,Sin datos,0.0,ML: Cleveland Guardians,2.18,,1.98,1.83,,,23.5,0.0
2025-07-05T23:15:00,Los Angeles Dodgers,Houston Astros,Shohei Ohtani,Framber Valdez,6.552,6.975,0.3971,0.6029,0.2956,0.3774,8.5,Over,Houston Astros,39.87,Sin datos,0.0,ML: Houston Astros,,2.32,1.85,1.96,,,30.21,0.0
2025-07-06T01:10:00,Colorado Rockies,Chicago White Sox,Germán Márquez,Jonathan Cannon,4.869,3.942,0.5557,0.4443,0.4194,0.2035,11.0,Under,Sin datos,0.0,Colorado Rockies,4.85,RL: Colorado Rockies,,,1.94,1.88,2.5,,0.0,3.23
2025-07-06T01:40:00,San Diego Padres,Texas Rangers,Stephen Kolek,Patrick Corbin,5.166,5.643,0.3819,0.6181,0.271,0.3744,8.0,Over,Texas Rangers,26.09,Sin datos,0.0,ML: Texas Rangers,,2.04,1.88,1.94,,,25.09,0.0
2025-07-06T02:10:00,Seattle Mariners,Pittsburgh Pirates,Luis Castillo,Mike Burrows,5.265,5.805,0.376,0.624,0.2671,0.3828,7.0,Over,Pittsburgh Pirates,49.76,Sin datos,0.0,ML: Pittsburgh Pirates,,2.4,1.82,2.0,,,35.54,0.0
