start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-09T16:10:00,Miami Marlins,Cincinnati Reds,Max Meyer,Rhett Lowder,3.84,3.477,0.535,0.465,8.5,Under,7.56,3.98,Cincinnati Reds,667.36,5.0,Miami Marlins,31.06,5.0,RL: Miami Marlins,1.05,16.5,2.15,1.95,2.45,2.05,5.0,5.0,0.92
2026-04-09T17:35:00,New York Yankees,Athletics,Ryan Weathers,Jeffrey Springs,4.516,3.193,0.6,0.4,6.5,Over,28.66,5.0,Athletics,24.08,5.0,New York Yankees,25.95,5.0,TOTAL: Over,1.5,3.1,1.98,1.95,2.1,1.86,5.0,5.0,1.04
2026-04-09T17:40:00,Minnesota Twins,Detroit Tigers,Mick Abel,Jack Flaherty,5.141,5.933,0.905,0.095,7.5,Over,80.92,5.0,Minnesota Twins,94.5,5.0,Minnesota Twins,64.64,5.0,ML: Minnesota Twins,2.15,1.77,2.1,2.08,1.82,2.3,5.0,5.0,0.98
2026-04-09T23:10:00,New York Mets,Arizona Diamondbacks,Nolan McLean,Eduardo Rodriguez,3.486,2.779,0.568,0.432,7.0,Sin ventaja clara,0.0,0.0,Arizona Diamondbacks,4.63,1.63,New York Mets,39.07,5.0,RL: New York Mets,1.64,2.42,1.88,2.05,2.45,1.65,1.63,5.0,0.95
2026-04-09T23:40:00,Kansas City Royals,Chicago White Sox,Seth Lugo,Anthony Kay,4.23,3.062,0.195,0.805,9.0,Under,38.06,5.0,Chicago White Sox,109.4,5.0,Chicago White Sox,44.97,5.0,TOTAL: Under,1.56,2.6,1.98,2.0,2.15,1.8,5.0,5.0,0.99
2026-04-10T01:40:00,San Diego Padres,Colorado Rockies,Randy Vásquez,Jimmy Herget,3.057,2.598,0.372,0.628,7.5,Under,32.31,5.0,Colorado Rockies,70.32,5.0,Colorado Rockies,13.13,5.0,TOTAL: Under,1.53,2.71,2.03,2.0,2.15,1.8,5.0,5.0,1.0
