start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-04T17:10:00,Detroit Tigers,St. Louis Cardinals,Jack Flaherty,Dustin May,4.857,3.649,,,7.5,Over,21.81,5.0,St. Louis Cardinals,,,St. Louis Cardinals,,,TOTAL: Over,1.63,2.46,1.98,2.0,2.4,1.91,,,0.93
2026-04-04T18:10:00,Chicago White Sox,Toronto Blue Jays,Grant Taylor,Mason Fluharty,4.49,4.223,,,8.5,Sin ventaja clara,0.0,0.0,Toronto Blue Jays,,,Toronto Blue Jays,,,Ninguno,2.33,1.7,2.0,1.93,1.8,2.1,,,0.92
2026-04-04T18:10:00,Kansas City Royals,Milwaukee Brewers,Luinder Avila,Chad Patrick,3.456,5.71,0.692,0.308,8.5,Sin ventaja clara,0.0,0.0,Kansas City Royals,39.7,5.0,Kansas City Royals,11.35,5.0,ML: Kansas City Royals,2.02,1.91,1.91,1.98,1.61,2.46,5.0,5.0,0.99
2026-04-04T23:10:00,Kansas City Royals,Milwaukee Brewers,Seth Lugo,Brandon Sproat,6.062,4.115,,,8.5,Over,31.17,5.0,Milwaukee Brewers,,,Milwaukee Brewers,,,TOTAL: Over,2.02,1.91,1.91,1.98,1.61,2.46,,,0.99
2026-04-04T20:05:00,Washington Nationals,Los Angeles Dodgers,Jake Irvin,Tyler Glasnow,4.052,5.17,0.524,0.476,9.5,Sin ventaja clara,0.0,0.0,Washington Nationals,85.34,5.0,Washington Nationals,32.98,5.0,Ninguno,3.54,1.35,1.93,2.03,2.54,1.83,5.0,5.0,0.96
2026-04-04T20:05:00,Athletics,Houston Astros,Luis Morales,Tatsuya Imai,4.448,7.268,,,10.0,Over,25.08,5.0,Houston Astros,,,Houston Astros,,,TOTAL: Over,1.98,1.93,2.01,2.02,1.64,2.4,,,0.94
2026-04-04T20:05:00,Pittsburgh Pirates,Baltimore Orioles,Carmen Mlodzinski,Shane Baz,5.064,4.394,0.149,0.851,8.5,Sin ventaja clara,0.0,0.0,Baltimore Orioles,71.95,5.0,Baltimore Orioles,124.73,5.0,Ninguno,1.93,2.02,1.98,1.89,2.82,2.64,5.0,5.0,0.94
2026-04-04T20:10:00,Boston Red Sox,San Diego Padres,Connelly Early,Randy Vásquez,2.746,3.607,0.578,0.422,7.5,Under,7.21,3.79,Boston Red Sox,-0.56,0.0,Boston Red Sox,47.43,5.0,TOTAL: Under,1.72,2.26,1.93,1.95,2.55,1.61,0.0,5.0,1.12
2026-04-04T23:05:00,Texas Rangers,Cincinnati Reds,Kumar Rocker,Rhett Lowder,5.088,4.289,0.533,0.467,8.5,Sin ventaja clara,0.0,0.0,Cincinnati Reds,5.1,2.04,Texas Rangers,32.15,5.0,RL: Texas Rangers,1.73,2.25,1.93,1.95,2.48,1.61,2.04,5.0,1.1
2026-04-04T23:05:00,New York Yankees,Miami Marlins,Ryan Weathers,Max Meyer,4.103,3.026,0.18,0.82,7.5,Sin ventaja clara,0.0,0.0,Miami Marlins,119.77,5.0,Miami Marlins,45.14,5.0,Ninguno,1.54,2.68,2.03,1.93,2.17,1.77,5.0,5.0,1.04
2026-04-04T23:10:00,Minnesota Twins,Tampa Bay Rays,Mick Abel,Steven Matz,5.806,6.737,,,7.5,Over,79.81,5.0,Tampa Bay Rays,,,Tampa Bay Rays,,,TOTAL: Over,1.94,1.99,1.93,1.95,2.96,2.65,,,0.98
2026-04-04T23:15:00,Cleveland Guardians,Chicago Cubs,Slade Cecconi,Shota Imanaga,4.266,6.122,,,8.0,Over,42.54,5.0,Chicago Cubs,,,Chicago Cubs,,,TOTAL: Over,2.19,1.76,2.01,1.87,1.68,2.3,,,0.97
2026-04-04T23:15:00,Arizona Diamondbacks,Atlanta Braves,Michael Soroka,Bryce Elder,2.661,4.31,0.412,0.588,9.5,Under,41.44,5.0,Atlanta Braves,19.89,5.0,Atlanta Braves,54.56,5.0,TOTAL: Under,1.89,2.04,1.95,1.93,2.7,2.63,5.0,5.0,1.02
2026-04-05T00:10:00,Colorado Rockies,Philadelphia Phillies,Brennan Bernardino,Jesús Luzardo,7.055,5.944,0.001,0.999,10.5,Over,48.15,5.0,Philadelphia Phillies,43.85,5.0,Philadelphia Phillies,101.79,5.0,TOTAL: Over,3.04,1.44,1.98,1.92,2.32,2.02,5.0,5.0,1.34
2026-04-05T01:05:00,San Francisco Giants,New York Mets,Landen Roupp,Clay Holmes,3.211,2.462,0.189,0.811,8.0,Under,62.25,5.0,New York Mets,58.13,5.0,New York Mets,105.97,5.0,TOTAL: Under,2.0,1.95,1.99,2.06,1.6,2.54,5.0,5.0,0.93
2026-04-05T01:38:00,Los Angeles Angels,Seattle Mariners,Jack Kochanowicz,Emerson Hancock,2.67,5.73,,,9.5,Under,3.62,0.0,Seattle Mariners,,,Seattle Mariners,,,Ninguno,2.42,1.64,1.95,1.93,1.87,2.03,,,1.0
