start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-05-03T16:45:00,Minnesota Twins,Toronto Blue Jays,Joe Ryan,Trey Yesavage,3.11,4.43,0.2513,0.7487,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Toronto Blue Jays,36.91,1.5,Toronto Blue Jays,11.51,1.5,Ninguno,sin_pick,,341da475ed0042be75b5bc44221f8161,[],2.0,2.08,1.98,1.88,2.6,2.25,1.5,1.5,1.019
2026-05-03T17:35:00,Boston Red Sox,Houston Astros,Ranger Suarez,Cody Bolton,6.348,4.964,0.6005,0.3995,9.0,Over,27.72,1.0,0.6386,0.6924,Houston Astros,1.55,0.2,Boston Red Sox,4.68,0.74,TOTAL: Over,activo,aprobado,c07320ad7cda17703d445ae8f3b85376,[],1.6,2.58,2.0,2.06,2.26,1.75,0.2,0.74,1.165
2026-05-03T17:35:00,Pittsburgh Pirates,Cincinnati Reds,Braxton Ashcraft,Chase Burns,4.108,4.046,0.4375,0.5625,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Cincinnati Reds,9.18,1.5,Pittsburgh Pirates,7.05,0.77,Ninguno,sin_pick,,b7ecafff68e95721e956a1a960acdd98,[],1.87,2.05,1.97,1.91,2.82,2.75,1.5,0.77,0.978
2026-05-03T17:35:00,New York Yankees,Baltimore Orioles,Max Fried,Trey Gibson,5.414,3.569,0.6721,0.3279,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Baltimore Orioles,8.16,0.66,New York Yankees,9.94,1.5,Ninguno,sin_pick,,092612a571aeb504211ec7f4950924e3,[],1.36,3.47,2.0,1.93,2.05,2.3,0.66,1.5,1.082
2026-05-03T17:35:00,Washington Nationals,Milwaukee Brewers,PJ Poulin,Logan Henderson,5.949,5.159,0.5324,0.4676,8.5,Over,19.04,1.0,0.62,0.7775,Washington Nationals,14.52,1.5,Washington Nationals,-17.04,0.0,Ninguno,descartado,limite_picks_diarios,1c691cd82a568ab8542e6672e53d0125,[],2.32,1.69,1.92,1.98,1.77,2.2,1.5,0.0,0.998
2026-05-03T17:40:00,Tampa Bay Rays,San Francisco Giants,Steven Matz,Tyler Mahle,4.787,3.731,0.5741,0.4259,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Tampa Bay Rays,3.3,0.78,Tampa Bay Rays,24.5,1.5,Ninguno,sin_pick,,83a816db7e0b75a4f8d0b9a486ad3113,[],1.85,2.08,1.95,1.93,2.7,2.7,0.78,1.5,0.91
2026-05-03T17:40:00,Miami Marlins,Philadelphia Phillies,Chris Paddack,Jesús Luzardo,4.404,4.444,0.4266,0.5734,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Philadelphia Phillies,-0.94,0.0,Philadelphia Phillies,-19.0,0.0,Ninguno,sin_pick,,4c6f75a0f0a2e467d79983253235c3a9,[],2.23,1.74,1.87,2.0,1.75,2.25,0.0,0.0,0.92
2026-05-03T18:15:00,St. Louis Cardinals,Los Angeles Dodgers,Dustin May,Justin Wrobleski,3.141,5.073,0.195,0.805,9.5,Under,9.48,0.0,0.5393,0.5627,Los Angeles Dodgers,22.4,1.5,Los Angeles Dodgers,14.32,1.5,Ninguno,sin_pick,,8ca3a46477683553d785413b73444311,[],2.2,1.8,1.91,2.03,1.75,2.25,1.5,1.5,1.009
2026-05-03T18:20:00,Chicago Cubs,Arizona Diamondbacks,Matthew Boyd,Merrill Kelly,8.062,5.537,0.6903,0.3097,12.0,Over,12.45,0.0,0.5737,0.601,Chicago Cubs,8.26,1.5,Chicago Cubs,17.04,1.5,Ninguno,sin_pick,,b7ad1d7b238b8062d64011d24d284989,[],1.65,2.4,1.96,2.04,2.2,1.77,1.5,1.5,1.092
2026-05-03T19:10:00,Colorado Rockies,Atlanta Braves,Kyle Freeland,Spencer Strider,6.151,6.962,0.3561,0.6439,9.5,Over,29.0,1.0,0.6386,0.8415,Atlanta Braves,5.3,1.5,Atlanta Braves,-9.82,0.0,TOTAL: Over,activo,aprobado,9e48c32033c5db8cdc98fcd3ecdc2aa2,[],2.29,1.7,2.02,1.98,1.85,2.05,1.5,0.0,1.394
2026-05-03T20:05:00,Athletics,Cleveland Guardians,Aaron Civale,Parker Messick,3.722,5.001,0.2716,0.7284,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Cleveland Guardians,20.45,1.5,Cleveland Guardians,5.14,0.76,Ninguno,sin_pick,,ba204fb233ca7bb67ee89a3dd893e188,[],2.12,1.82,2.0,1.96,1.7,2.35,1.5,0.76,1.04
2026-05-03T20:07:00,Los Angeles Angels,New York Mets,Jack Kochanowicz,Clay Holmes,3.371,3.862,0.3544,0.6456,9.0,Under,20.28,1.0,0.62,0.6982,New York Mets,10.5,1.5,New York Mets,-13.18,0.0,Ninguno,descartado,limite_picks_diarios,257b715ef1fa8b967fb27a46de2d3021,[],2.17,1.81,1.96,1.94,1.71,2.28,1.5,0.0,1.04
2026-05-03T20:10:00,Seattle Mariners,Kansas City Royals,Luis Castillo,Kris Bubic,4.462,4.808,0.3893,0.6107,8.0,Over,9.45,0.0,0.5528,0.5794,Kansas City Royals,15.6,1.5,Kansas City Royals,12.17,1.39,Ninguno,sin_pick,,e05ec850dc5af5d56ee55a4acb831ae9,[],1.87,2.05,1.98,1.91,2.71,2.75,1.5,1.39,0.978
2026-05-03T20:10:00,San Diego Padres,Chicago White Sox,Griffin Canning,Anthony Kay,5.77,4.352,0.6117,0.3883,8.0,Over,25.86,1.0,0.62,0.6807,San Diego Padres,-1.24,0.0,San Diego Padres,4.4,0.7,TOTAL: Over,activo,aprobado,60f28cce3cfa86c53a2a227c6532203a,[],1.62,2.49,2.03,1.98,2.25,1.71,0.0,0.7,1.04
2026-05-03T23:20:00,Detroit Tigers,Texas Rangers,Tyler Holton,Jack Leiter,4.779,4.5,0.4697,0.5303,8.0,Over,11.26,0.0,0.5563,0.5805,Texas Rangers,7.86,1.39,Detroit Tigers,9.32,1.09,Ninguno,sin_pick,,b713b3ae079ed7d21c2a9f7edb043f6b,[],1.83,2.13,2.0,2.0,2.71,2.68,1.39,1.09,0.967
