start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-13T20:10:00,Seattle Mariners,Houston Astros,George Kirby,Mike Burrows,5.153,3.795,0.12,0.88,8.0,Sin ventaja clara,0.0,0.0,Houston Astros,1537.45,5.0,Houston Astros,84.87,5.0,Ninguno,1.08,18.6,2.1,1.87,2.02,2.1,5.0,5.0,0.94
2026-04-13T22:35:00,Baltimore Orioles,Arizona Diamondbacks,Dean Kremer,Ryne Nelson,4.692,3.795,0.482,0.518,9.0,Sin ventaja clara,0.0,0.0,Arizona Diamondbacks,10.78,4.73,Arizona Diamondbacks,-20.28,0.0,ML: Arizona Diamondbacks,1.8,2.14,2.01,1.91,2.64,1.54,4.73,0.0,0.95
2026-04-13T22:40:00,Pittsburgh Pirates,Washington Nationals,Paul Skenes,Cade Cavalli,4.896,4.242,0.704,0.296,7.5,Over,37.02,5.0,Pittsburgh Pirates,4.21,4.38,Pittsburgh Pirates,44.34,5.0,RL: Pittsburgh Pirates,1.48,2.9,1.98,2.0,2.05,1.87,4.38,5.0,0.94
2026-04-13T22:40:00,Philadelphia Phillies,Chicago Cubs,Cristopher Sánchez,Javier Assad,3.023,2.769,0.555,0.445,8.5,Under,58.28,5.0,Chicago Cubs,13.13,4.26,Philadelphia Phillies,23.13,5.0,TOTAL: Under,1.6,2.54,1.95,2.05,2.22,1.74,4.26,5.0,1.01
2026-04-13T23:05:00,New York Yankees,Los Angeles Angels,Will Warren,Yusei Kikuchi,5.442,3.197,0.102,0.898,9.5,Sin ventaja clara,0.0,0.0,Los Angeles Angels,138.09,5.0,Los Angeles Angels,64.42,5.0,Ninguno,1.56,2.65,1.95,1.95,2.06,1.83,5.0,5.0,1.04
2026-04-13T23:15:00,Atlanta Braves,Miami Marlins,Grant Holmes,Eury Pérez,5.363,3.794,0.188,0.812,8.0,Over,14.66,5.0,Miami Marlins,88.48,5.0,Miami Marlins,31.61,5.0,TOTAL: Over,1.68,2.32,2.03,2.0,2.41,1.62,5.0,5.0,1.03
2026-04-13T23:40:00,Minnesota Twins,Boston Red Sox,Bailey Ober,Garrett Crochet,3.874,4.636,0.669,0.331,7.5,Over,23.14,5.0,Minnesota Twins,63.14,5.0,Minnesota Twins,20.35,5.0,ML: Minnesota Twins,2.44,1.64,2.0,1.99,1.8,2.11,5.0,5.0,0.98
2026-04-13T23:45:00,St. Louis Cardinals,Cleveland Guardians,Matthew Liberatore,Gavin Williams,3.254,3.939,0.591,0.409,8.0,Sin ventaja clara,0.0,0.0,St. Louis Cardinals,20.62,5.0,St. Louis Cardinals,-4.21,0.0,ML: St. Louis Cardinals,2.04,1.88,1.95,1.95,1.62,2.45,5.0,0.0,0.97
2026-04-14T01:40:00,Athletics,Texas Rangers,Luis Severino,Nathan Eovaldi,5.038,4.779,0.113,0.887,8.5,Over,26.01,5.0,Texas Rangers,61.49,5.0,Texas Rangers,108.51,5.0,TOTAL: Over,2.12,1.82,1.95,1.98,1.67,2.35,5.0,5.0,0.94
2026-04-14T02:10:00,Los Angeles Dodgers,New York Mets,Justin Wrobleski,David Peterson,5.652,3.465,0.241,0.759,8.5,Sin ventaja clara,0.0,0.0,New York Mets,82.05,5.0,New York Mets,31.23,5.0,Ninguno,1.65,2.4,1.92,1.98,2.25,1.73,5.0,5.0,1.01
