start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-12T17:35:00,Baltimore Orioles,San Francisco Giants,Cade Povich,Adrian Houser,4.025,3.074,0.436,0.564,8.5,Under,13.87,5.0,San Francisco Giants,18.92,5.0,San Francisco Giants,49.35,5.0,ML: San Francisco Giants,1.82,2.11,1.93,1.95,2.65,2.65,5.0,5.0,0.95
2026-04-12T17:35:00,Philadelphia Phillies,Arizona Diamondbacks,Andrew Painter,Zac Gallen,3.967,3.74,0.632,0.368,8.0,Sin ventaja clara,0.0,0.0,Philadelphia Phillies,9.94,5.0,Philadelphia Phillies,60.49,5.0,ML: Philadelphia Phillies,1.74,2.3,1.91,2.05,2.54,1.61,5.0,5.0,1.01
2026-04-12T17:37:00,Toronto Blue Jays,Minnesota Twins,Max Scherzer,Taj Bradley,3.118,3.893,0.645,0.355,8.0,Sin ventaja clara,0.0,0.0,Toronto Blue Jays,12.17,5.0,Toronto Blue Jays,68.25,5.0,ML: Toronto Blue Jays,1.74,2.23,1.95,2.11,2.61,1.55,5.0,5.0,0.98
2026-04-12T17:40:00,Cincinnati Reds,Los Angeles Angels,Andrew Abbott,José Soriano,3.18,4.322,0.677,0.323,8.5,Sin ventaja clara,0.0,0.0,Cincinnati Reds,33.98,5.0,Cincinnati Reds,94.21,5.0,ML: Cincinnati Reds,1.98,1.94,1.95,1.93,2.87,2.58,5.0,5.0,1.08
2026-04-12T17:40:00,New York Mets,Athletics,Freddy Peralta,Aaron Civale,4.046,3.818,0.677,0.323,7.5,Sin ventaja clara,0.0,0.0,New York Mets,9.71,5.0,New York Mets,59.82,5.0,RL: New York Mets,1.62,2.45,2.09,2.0,2.36,1.65,5.0,5.0,0.95
2026-04-12T17:40:00,Detroit Tigers,Miami Marlins,Tarik Skubal,Sandy Alcantara,2.734,3.141,0.626,0.374,6.0,Sin ventaja clara,0.0,0.0,Detroit Tigers,0.16,0.13,Detroit Tigers,50.24,5.0,RL: Detroit Tigers,1.6,2.65,2.03,1.97,2.4,1.67,0.13,5.0,0.93
2026-04-12T17:40:00,Tampa Bay Rays,New York Yankees,Drew Rasmussen,Cam Schlittler,2.53,3.02,0.474,0.526,7.5,Under,27.49,5.0,Tampa Bay Rays,6.57,2.63,New York Yankees,18.43,5.0,TOTAL: Under,2.25,1.74,1.98,1.88,1.71,2.25,2.63,5.0,0.91
2026-04-12T18:10:00,Kansas City Royals,Chicago White Sox,Noah Cameron,Grant Taylor,3.259,2.795,0.449,0.551,8.5,Under,50.99,5.0,Chicago White Sox,42.2,5.0,Chicago White Sox,-1.89,0.0,TOTAL: Under,1.58,2.58,2.01,2.05,2.15,1.78,5.0,0.0,0.99
2026-04-12T18:10:00,Milwaukee Brewers,Washington Nationals,Brandon Woodruff,Zack Littell,5.19,5.37,0.68,0.32,8.0,Over,47.5,5.0,Milwaukee Brewers,1.36,1.39,Milwaukee Brewers,40.14,5.0,TOTAL: Over,1.49,2.88,2.03,2.0,2.06,1.91,1.39,5.0,0.96
2026-04-12T18:15:00,St. Louis Cardinals,Boston Red Sox,Andre Pallante,Brayan Bello,5.907,3.4,0.003,0.997,9.0,Sin ventaja clara,0.0,0.0,Boston Red Sox,82.4,5.0,Boston Red Sox,135.23,5.0,Ninguno,2.1,1.83,2.0,2.02,1.67,2.36,5.0,5.0,0.97
2026-04-12T18:20:00,Chicago Cubs,Pittsburgh Pirates,Jameson Taillon,Bubba Chandler,3.722,3.894,0.385,0.615,12.0,Under,78.19,5.0,Pittsburgh Pirates,34.17,5.0,Pittsburgh Pirates,0.93,0.73,TOTAL: Under,1.77,2.18,1.98,1.95,2.45,1.64,5.0,0.73,1.05
2026-04-12T20:10:00,San Diego Padres,Colorado Rockies,Nick Pivetta,Kyle Freeland,3.682,4.177,0.748,0.252,8.0,Sin ventaja clara,0.0,0.0,San Diego Padres,7.65,5.0,San Diego Padres,49.52,5.0,RL: San Diego Padres,1.44,3.01,2.0,1.98,2.0,1.93,5.0,5.0,1.0
2026-04-12T20:10:00,Los Angeles Dodgers,Texas Rangers,Roki Sasaki,Jacob deGrom,4.901,5.104,0.797,0.203,8.5,Over,29.54,5.0,Los Angeles Dodgers,43.54,5.0,Los Angeles Dodgers,111.33,5.0,ML: Los Angeles Dodgers,1.8,2.14,1.94,2.0,2.65,1.53,5.0,5.0,1.01
2026-04-12T23:20:00,Atlanta Braves,Cleveland Guardians,Chris Sale,Tanner Bibee,4.227,3.922,0.53,0.47,7.0,Over,18.07,5.0,Cleveland Guardians,26.07,5.0,Atlanta Braves,16.51,5.0,TOTAL: Over,1.54,2.68,2.08,2.02,2.2,1.75,5.0,5.0,1.03
