start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-14T16:35:00,Pittsburgh Pirates,Colorado Rockies,Mason Montgomery,Chase Dollander,4.489,2.926,0.7461,0.2539,12.5,Under,17.0,0.0,0.6,0.9256,Colorado Rockies,139.87,1.0,Colorado Rockies,13.1,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",b707c40c030d32a5c6a52e12bdee39fd,[],1.04,12.5,2.08,1.95,1.76,1.95,-4.0,4.0,1.0,1.0,0.902,PNC Park,9.1,-0.06
2026-05-14T16:40:00,Cincinnati Reds,Washington Nationals,Chase Burns,Foster Griffin,5.027,4.016,0.6491,0.3509,9.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Washington Nationals,709.88,1.0,Washington Nationals,16.58,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",8abdf6d45a3ff089cc31a3d8ae9454b2,[],1.01,34.0,1.88,1.95,1.88,2.01,-6.5,6.5,1.0,1.0,1.069,Great American Ball Park,16.3,-0.03
2026-05-14T17:10:00,New York Mets,Detroit Tigers,Nolan McLean,Keider Montero,3.027,3.748,0.3737,0.6263,8.5,Under,11.56,0.0,0.5721,0.6322,New York Mets,19.28,0.93,New York Mets,20.03,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",e24302ea9f75de2f74247cff5426bb72,[],3.5,1.36,1.94,1.95,2.16,1.8,1.5,-1.5,0.93,1.0,0.95,Citi Field,18.3,0.0
2026-05-14T17:40:00,Minnesota Twins,Miami Marlins,Zebby Matthews,Braxton Garrett,4.564,3.501,0.6662,0.3338,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Minnesota Twins,18.25,1.0,Miami Marlins,7.06,0.94,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",0fd9dcf5dd607b0b9074ed98709c23da,[],1.83,2.85,2.0,2.0,2.42,1.9,-1.5,1.5,1.0,0.94,1.039,Target Field,24.4,0.02
2026-05-14T17:40:00,Milwaukee Brewers,San Diego Padres,Kyle Harrison,Griffin Canning,4.775,2.881,0.7846,0.2154,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Milwaukee Brewers,8.8,1.0,Milwaukee Brewers,14.71,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",679760ad793188b79273efa2408440ac,[],1.6,3.14,1.95,1.95,2.2,2.0,-1.5,1.5,1.0,1.0,0.95,American Family Field,16.9,-0.03
2026-05-14T18:10:00,Houston Astros,Seattle Mariners,Mike Burrows,Luis Castillo,5.978,4.88,0.6462,0.3538,9.0,Over,12.0,0.0,0.5803,0.6439,Houston Astros,17.89,1.0,Houston Astros,-6.04,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",901a26e0d74ceaadd9981af23f8e1a15,[],1.99,1.93,1.93,1.95,1.62,2.47,1.5,-1.5,1.0,0.0,1.04,Daikin Park,27.2,0.02
2026-05-14T19:05:00,Athletics,St. Louis Cardinals,Jacob Lopez,Michael McGreevy,3.745,5.716,0.2338,0.7662,9.5,Sin ventaja clara,0.0,0.0,0.0,0.0,St. Louis Cardinals,37.28,1.0,St. Louis Cardinals,37.24,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",07fe304b5fb4622bc1a942801ac904f6,[],1.85,2.07,1.87,2.01,2.65,2.55,-1.5,-1.5,1.0,1.0,1.04,Sutter Health Park,27.2,0.02
2026-05-14T22:45:00,Boston Red Sox,Philadelphia Phillies,Ranger Suarez,Jesús Luzardo,4.734,3.839,0.6366,0.3634,7.0,Over,9.5,0.0,0.5733,0.6238,Boston Red Sox,15.4,1.0,Boston Red Sox,28.56,1.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",6e7d9b2e9bc1d87a475e2a29d5c86b92,[],1.96,1.96,1.91,2.0,2.95,2.6,-1.5,-1.5,1.0,1.0,1.086,Fenway Park,13.8,-0.03
2026-05-14T23:15:00,Atlanta Braves,Chicago Cubs,Chris Sale,Ben Brown,3.827,3.867,0.4934,0.5066,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Chicago Cubs,18.12,1.0,Chicago Cubs,2.66,0.41,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",797493921ce7c293a19900840d42e2e1,[],1.58,2.55,2.03,1.88,2.25,1.77,-1.5,1.5,1.0,0.41,1.071,Truist Park,21.7,0.0
2026-05-14T23:40:00,Chicago White Sox,Kansas City Royals,Anthony Kay,Kris Bubic,4.259,4.951,0.3977,0.6023,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Kansas City Royals,3.49,0.54,Chicago White Sox,-0.82,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",3e233aef78a3a5c98e1d9fc4ba450901,[],2.18,1.77,1.98,1.91,1.71,2.24,1.5,-1.5,0.54,0.0,1.04,Rate Field,27.2,0.02
