start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-07T18:10:00,Kansas City Royals,Cleveland Guardians,Seth Lugo,Slade Cecconi,5.306,4.768,0.576,0.424,13.5,Under,-19.4,0.0,0.62,0.7845,Kansas City Royals,1282.4,1.5,Kansas City Royals,252.49,1.5,Ninguno,sin_pick,,6ea660d6d55e2a5168fd92eb01e16b87,[],36.0,1.01,6.2,1.3,6.23,1.22,2.5,-2.5,1.5,1.5,1.03,Kauffman Stadium,20.3,0.0
2026-05-07T18:20:00,Chicago Cubs,Cincinnati Reds,Shota Imanaga,Rhett Lowder,6.887,3.533,0.8788,0.1212,11.5,Under,4.65,0.0,0.5657,0.5306,Cincinnati Reds,202.26,1.23,Cincinnati Reds,66.53,1.5,Ninguno,sin_pick,,d995ce8d9df4c182c1ecade37bac292d,[],1.01,34.0,3.4,1.85,1.85,3.1,-4.5,4.5,1.23,1.5,1.008,Wrigley Field,10.0,-0.06
2026-05-07T19:10:00,Colorado Rockies,New York Mets,Jose Quintana,Christian Scott,5.196,5.608,0.4439,0.5561,7.5,Over,43.69,0.0,0.6386,0.8437,New York Mets,7.3,1.46,New York Mets,11.41,1.01,Ninguno,sin_pick,,db06eeec096bc60532c3b1aa5d4235a0,[],2.0,2.0,2.25,1.78,1.43,3.25,1.5,-1.5,1.46,1.01,1.394,Coors Field,21.1,0.0
2026-05-07T19:40:00,Arizona Diamondbacks,Pittsburgh Pirates,Zac Gallen,Mitch Keller,4.089,6.204,0.2287,0.7713,8.5,Over,23.89,1.0,0.6386,0.6992,Pittsburgh Pirates,4.04,1.5,Pittsburgh Pirates,35.92,1.5,TOTAL: Over,activo,aprobado,4d8a7d6f10d4e381df3410c93345b071,[],3.75,1.53,1.94,2.0,2.33,2.54,1.5,-1.5,1.5,1.5,1.112,Chase Field,34.5,0.09
2026-05-07T22:40:00,Philadelphia Phillies,Athletics,Andrew Painter,J.T. Ginn,4.975,5.017,0.494,0.506,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Athletics,5.11,0.89,Athletics,-9.52,0.0,Ninguno,sin_pick,,b24e92041f215692dc57c17a67275bcf,[],1.81,2.15,1.88,2.0,2.58,1.56,-1.5,1.5,0.89,0.0,1.01,Citizens Bank Park,18.9,0.0
2026-05-07T22:40:00,Miami Marlins,Baltimore Orioles,Max Meyer,Cade Povich,4.609,3.179,0.7221,0.2779,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,19.77,1.5,Miami Marlins,30.62,1.5,Ninguno,sin_pick,,01ce87afc3b701c0bae09b62dc95f87c,[],1.82,2.13,2.02,1.87,2.65,2.7,-1.5,-1.5,1.5,1.5,0.92,loanDepot park,21.0,0.0
2026-05-07T23:10:00,Boston Red Sox,Tampa Bay Rays,Jake Bennett,Griffin Jax,4.372,3.974,0.5627,0.4373,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Boston Red Sox,4.97,1.07,Boston Red Sox,12.76,1.42,Ninguno,sin_pick,,587e3aa8ddaf7a5719f0d0f55b446db9,[],1.93,2.0,1.88,2.02,2.8,2.64,-1.5,-1.5,1.07,1.42,1.131,Fenway Park,17.2,-0.03
2026-05-08T02:10:00,San Diego Padres,St. Louis Cardinals,Michael King,Matthew Liberatore,4.74,3.776,0.6472,0.3528,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,San Diego Padres,3.0,0.95,San Diego Padres,-1.81,0.0,Ninguno,sin_pick,,fb98c375df55f7f70d2f35b2209bdd61,[],1.63,2.48,1.93,1.96,2.33,1.68,-1.5,1.5,0.95,0.0,1.02,Petco Park,22.0,0.0
