start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-08T22:10:00,Cincinnati Reds,Houston Astros,Nick Lodolo,Mike Burrows,5.903,5.831,0.5094,0.4906,9.0,Over,24.53,1.0,0.6386,0.7336,Houston Astros,1.2,0.22,Cincinnati Reds,-7.35,0.0,TOTAL: Over,activo,aprobado,40150285b21b0e818a39c0940eca75d7,[],1.83,2.1,1.95,1.92,2.66,1.54,-1.5,1.5,0.22,0.0,1.123,Great American Ball Park,21.0,0.0
2026-05-08T22:40:00,Philadelphia Phillies,Colorado Rockies,Jesús Luzardo,Chase Dollander,4.121,4.331,0.4671,0.5329,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Colorado Rockies,34.73,1.5,Colorado Rockies,7.88,1.5,Ninguno,sin_pick,,0f65cc2fecae3661933682f1525e806d,[],1.48,2.9,2.07,1.83,2.05,1.86,-1.5,1.5,1.5,1.5,1.05,Citizens Bank Park,18.9,0.0
2026-05-08T23:05:00,Baltimore Orioles,Athletics,Kyle Bradish,Jacob Lopez,5.822,5.371,0.5602,0.4398,9.5,Over,24.0,1.0,0.62,0.6801,Baltimore Orioles,-1.69,0.0,Baltimore Orioles,-4.68,0.0,TOTAL: Over,activo,aprobado,76929aa734500b152f347bbddf390165,[],1.76,2.2,2.0,1.89,2.5,1.61,-1.5,1.5,0.0,0.0,1.02,Oriole Park at Camden Yards,22.3,0.0
2026-05-08T23:07:00,Toronto Blue Jays,Los Angeles Angels,Dylan Cease,Reid Detmers,4.55,4.037,0.5793,0.4207,7.5,Over,15.52,1.0,0.5864,0.6256,Los Angeles Angels,-0.36,0.0,Los Angeles Angels,-4.3,0.0,Ninguno,descartado,limite_picks_diarios,92c3e303601373eee3d37fbb858409af,[],1.66,2.39,1.97,1.93,2.43,1.65,-1.5,1.5,0.0,0.0,0.98,Rogers Centre,21.0,0.0
2026-05-08T23:10:00,Boston Red Sox,Tampa Bay Rays,Connelly Early,Jesse Scholtens,5.181,5.276,0.4868,0.5132,8.5,Over,21.97,1.0,0.6386,0.7162,Tampa Bay Rays,5.91,1.03,Tampa Bay Rays,-9.52,0.0,TOTAL: Over,activo,aprobado,739421696ed76f3cffaf12c7db22c763,[],1.79,2.15,1.91,1.98,2.6,1.56,-1.5,1.5,1.03,0.0,1.131,Fenway Park,16.0,-0.03
2026-05-08T23:10:00,Miami Marlins,Washington Nationals,Robby Snelling,Foster Griffin,4.051,4.136,0.4864,0.5136,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Washington Nationals,7.96,1.32,Washington Nationals,-9.52,0.0,Ninguno,sin_pick,,ad17b69505e6a7e7c4c06dc7f6b91ac6,[],1.75,2.21,1.85,2.03,2.6,1.56,-1.5,1.5,1.32,0.0,0.92,loanDepot park,21.0,0.0
2026-05-08T23:15:00,Cleveland Guardians,Minnesota Twins,Parker Messick,Connor Prielipp,4.083,3.701,0.5626,0.4374,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Minnesota Twins,-1.21,0.0,Minnesota Twins,-7.78,0.0,Ninguno,sin_pick,,d0f880a5482c5178286681a63048600f,[],1.72,2.27,1.99,1.88,2.52,1.59,-1.5,1.5,0.0,0.0,0.912,Progressive Field,11.6,-0.06
2026-05-08T23:40:00,Kansas City Royals,Detroit Tigers,Kris Bubic,Keider Montero,3.947,4.018,0.4885,0.5115,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Detroit Tigers,10.29,1.5,Detroit Tigers,-7.78,0.0,Ninguno,sin_pick,,6aa50c59681975bb7beff37ab4f46bb5,[],1.7,2.29,1.93,1.95,2.5,1.59,-1.5,1.5,1.5,0.0,0.99,Kauffman Stadium,19.9,0.0
2026-05-08T23:40:00,Chicago White Sox,Seattle Mariners,Sean Burke,Emerson Hancock,3.657,4.154,0.4189,0.5811,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Seattle Mariners,0.78,0.2,Chicago White Sox,-1.4,0.0,Ninguno,sin_pick,,79db8c5227deae699a7b9c123aaf6d3f,[],2.21,1.76,1.93,1.94,1.7,2.27,1.5,-1.5,0.2,0.0,1.02,Rate Field,22.3,0.0
2026-05-08T23:40:00,Milwaukee Brewers,New York Yankees,Jacob Misiorowski,Max Fried,3.189,3.561,0.4339,0.5661,7.0,Sin ventaja clara,0.0,0.0,0.0,0.0,New York Yankees,2.42,0.57,Milwaukee Brewers,-6.04,0.0,Ninguno,sin_pick,,3d859a4947ba1d62e82366cdebc59d78,[],2.09,1.85,1.85,2.05,1.62,2.43,1.5,-1.5,0.57,0.0,0.96,American Family Field,18.5,0.0
