start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-15T22:40:00,Pittsburgh Pirates,Philadelphia Phillies,Braxton Ashcraft,Aaron Nola,4.543,3.325,0.6911,0.3089,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Pittsburgh Pirates,14.26,1.25,Pittsburgh Pirates,11.98,1.25,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",a051c6df269a83813b248ea222859c65,[],1.78,2.18,1.95,1.95,2.67,1.54,-1.5,1.5,1.25,1.25,0.94,PNC Park,21.1,0.0
2026-05-15T22:45:00,Washington Nationals,Baltimore Orioles,Zack Littell,Shane Baz,5.309,6.655,0.3316,0.6684,9.5,Over,22.76,1.0,0.62,0.7544,Baltimore Orioles,9.81,1.25,Baltimore Orioles,1.57,0.24,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",44a4350d4a8392d58e49e092bee941e9,[],2.23,1.74,1.98,1.88,1.75,2.18,1.5,-1.5,1.25,0.24,0.979,Nationals Park,21.9,0.0
2026-05-15T22:45:00,Detroit Tigers,Toronto Blue Jays,Brenan Hanifee,Trey Yesavage,2.855,2.799,0.5111,0.4889,8.0,Under,19.04,1.0,0.62,0.7901,Detroit Tigers,4.3,0.7,Detroit Tigers,-4.3,0.0,Ninguno,descartado,limite_picks_diarios,"home_runs_recent_missing,away_runs_recent_missing",19b80d07edae4ffcb25b42667963c877,[],2.11,1.82,2.0,1.92,1.65,2.37,1.5,-1.5,0.7,0.0,0.949,Comerica Park,21.2,0.0
2026-05-15T23:10:00,Cleveland Guardians,Cincinnati Reds,Tanner Bibee,Andrew Abbott,4.177,3.924,0.5406,0.4594,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Cincinnati Reds,0.43,0.06,Cincinnati Reds,-8.94,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",d5256fecb9779436e7900fb3f1b19363,[],1.74,2.22,1.96,1.91,2.63,1.57,-1.5,1.5,0.06,0.0,0.97,Progressive Field,20.4,0.0
2026-05-15T23:10:00,Tampa Bay Rays,Miami Marlins,Jesse Scholtens,Janson Junk,3.584,4.058,0.4217,0.5783,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,12.65,1.25,Miami Marlins,11.96,1.25,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",2aee6b065d2ab7dd34a7bf34c50ecf64,[],1.87,2.08,2.01,1.88,2.75,2.72,-1.5,-1.5,1.25,1.25,0.91,Tropicana Field,21.0,0.0
2026-05-15T23:10:00,Minnesota Twins,Milwaukee Brewers,Joe Ryan,Coleman Crow,3.878,4.633,0.3836,0.6164,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Milwaukee Brewers,12.74,1.25,Milwaukee Brewers,16.04,1.25,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",29396edfdade5878dbc35fa23dfd31bd,[],1.95,1.96,1.88,2.05,2.85,2.6,-1.5,-1.5,1.25,1.25,1.049,Target Field,30.1,0.05
2026-05-15T23:15:00,Atlanta Braves,Boston Red Sox,Spencer Strider,Connelly Early,4.492,3.843,0.6016,0.3984,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Atlanta Braves,-0.53,0.0,Boston Red Sox,-4.3,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",0a103297db91d5bd1abf13d04b710c2a,[],1.67,2.35,1.89,2.0,2.37,1.65,-1.5,1.5,0.0,0.0,1.051,Truist Park,25.2,0.02
2026-05-15T23:15:00,New York Mets,New York Yankees,Clay Holmes,Cam Schlittler,2.514,3.169,0.3729,0.6271,7.0,Under,15.72,1.0,0.6027,0.6571,New York Yankees,3.83,0.97,New York Mets,-1.4,0.0,Ninguno,descartado,limite_picks_diarios,"home_runs_recent_missing,away_runs_recent_missing",afc970260745e8fb77f25865b9aa1d1e,[],2.27,1.71,2.03,1.92,1.7,2.3,1.5,-1.5,0.97,0.0,0.969,Citi Field,19.5,0.0
2026-05-15T23:40:00,Chicago White Sox,Chicago Cubs,Sean Burke,Edward Cabrera,5.236,5.34,0.4856,0.5144,8.5,Over,26.44,1.0,0.6386,0.7282,Chicago White Sox,3.11,0.48,Chicago White Sox,-0.82,0.0,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",36e963840422a477a4a60c1d4b1b2879,[],2.18,1.78,1.98,1.91,1.71,2.28,1.5,-1.5,0.48,0.0,1.11,Rate Field,34.8,0.09
2026-05-16T00:10:00,Houston Astros,Texas Rangers,Spencer Arrighetti,Jack Leiter,5.147,4.067,0.6571,0.3429,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Houston Astros,19.28,1.25,Houston Astros,-7.78,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",4323e1f1f88640843f73a6482a7730d5,[],1.99,1.93,1.93,1.97,1.59,2.52,1.5,-1.5,1.25,0.0,1.09,Daikin Park,34.8,0.09
2026-05-16T00:15:00,St. Louis Cardinals,Kansas City Royals,Dustin May,Michael Wacha,4.056,4.786,0.3897,0.6103,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Kansas City Royals,13.15,1.25,Kansas City Royals,13.86,1.25,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",857412c718e5a9787f2d262c8ad16cd5,[],1.92,1.99,1.92,1.95,2.82,2.55,-1.5,-1.5,1.25,1.25,1.038,Busch Stadium,28.3,0.05
2026-05-16T00:40:00,Colorado Rockies,Arizona Diamondbacks,Kyle Freeland,Merrill Kelly,8.489,8.601,0.4882,0.5118,11.5,Over,22.61,0.5,0.6386,0.9185,Colorado Rockies,0.57,0.09,Colorado Rockies,0.92,0.22,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",204926b2f2e00788f62385d3af31d828,[],2.09,1.84,1.92,1.95,1.74,2.26,1.5,-1.5,0.09,0.22,1.434,Coors Field,28.5,0.05
2026-05-16T01:38:00,Los Angeles Angels,Los Angeles Dodgers,Jack Kochanowicz,Blake Snell,6.074,5.172,0.6187,0.3813,9.0,Over,19.75,1.0,0.6141,0.6856,Los Angeles Angels,51.06,1.25,Los Angeles Angels,25.28,1.25,Ninguno,descartado,limite_picks_diarios,"home_runs_recent_missing,away_runs_recent_missing",8a72d8b519cc92911419682fb63aaf67,[],2.9,1.49,1.95,1.93,2.16,1.78,1.5,-1.5,1.25,1.25,1.0,Angel Stadium,21.3,0.0
2026-05-16T01:40:00,Seattle Mariners,San Diego Padres,Emerson Hancock,Randy Vásquez,3.678,3.367,0.554,0.446,7.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Seattle Mariners,-0.96,0.0,Seattle Mariners,-8.65,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",919b933a4af691070848a940a7d07a84,[],1.8,2.14,1.88,2.0,2.71,1.52,-1.5,1.5,0.0,0.0,0.94,T-Mobile Park,21.0,0.0
