start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-28T17:10:00,Detroit Tigers,Los Angeles Angels,Jack Flaherty,Grayson Rodriguez,6.068,4.364,0.724,0.276,5.5,Over,12.22,0.0,0.62,0.9476,Los Angeles Angels,-5.85,0.0,Detroit Tigers,0.98,0.18,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",28a4545a50aea1be3bff69f0dea3afcc,[],1.36,3.36,1.81,2.05,2.0,1.84,-1.5,1.5,0.0,0.18,0.949,Comerica Park,22.0,0.0
2026-05-28T18:10:00,Chicago White Sox,Minnesota Twins,Davis Martin,Simeon Woods Richardson,6.706,4.039,0.8197,0.1803,8.0,Over,22.76,1.0,0.62,0.7446,Chicago White Sox,9.48,1.25,Chicago White Sox,27.24,1.25,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",26a9e538184a6f2d2c207fd1872bd028,[],1.61,2.5,1.98,1.88,2.3,1.72,-1.5,1.5,1.25,1.25,1.02,Rate Field,19.3,0.0
2026-05-28T20:10:00,Boston Red Sox,Atlanta Braves,Payton Tolle,Chris Sale,3.755,4.312,0.4109,0.5891,7.0,Over,10.9,0.0,0.541,0.5564,Atlanta Braves,1.26,0.3,Boston Red Sox,-1.98,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",6072e0886fb927d9ece5f578024d31e2,[],2.22,1.75,2.05,1.85,1.69,2.35,1.5,-1.5,0.3,0.0,1.142,Fenway Park,22.1,0.0
2026-05-28T22:35:00,Baltimore Orioles,Toronto Blue Jays,Chris Bassitt,Patrick Corbin,4.179,5.003,0.3785,0.6215,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Toronto Blue Jays,21.24,1.25,Toronto Blue Jays,-9.52,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",f83cd7ff929aebf58050093ee52c8a86,[],1.81,2.15,1.88,1.98,2.65,1.56,-1.5,1.5,1.25,0.0,1.02,Oriole Park at Camden Yards,19.3,0.0
2026-05-28T22:40:00,Pittsburgh Pirates,Chicago Cubs,Paul Skenes,Colin Rea,5.2,4.088,0.6608,0.3392,7.5,Over,20.9,1.0,0.62,0.7087,Pittsburgh Pirates,3.27,0.96,Pittsburgh Pirates,1.01,0.14,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",10c998a5c2995335fd238b7e7e037c62,[],1.61,2.47,1.95,1.93,2.32,1.68,-1.5,1.5,0.96,0.14,0.978,PNC Park,23.6,0.0
2026-05-29T00:05:00,Texas Rangers,Houston Astros,Nathan Eovaldi,Spencer Arrighetti,3.829,4.379,0.4129,0.5871,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Houston Astros,18.52,1.25,Houston Astros,-10.68,0.0,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",5bacfc86e437d15ee2ffef91a1562308,[],1.75,2.21,2.07,1.83,2.65,1.54,-1.5,1.5,1.25,0.0,1.122,Globe Life Field,26.5,0.02
