start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,edge_ml,pick_rl,valor_rl,stake_pct_rl,edge_rl,stake_pct_recomendado,staking_model,mejor_pick,riesgo_estado,riesgo_motivo,data_quality_flags,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-09-10T16:15:00,Atlanta Braves,Tampa Bay Rays,Martín Pérez,Nick Martinez,4.076,4.456,0.4409,0.5591,5.5,Over,10.98,0.0,0.62,0.8528,Tampa Bay Rays,4.91,0.0,0.1129,Atlanta Braves,-12.22,0.0,-0.0878,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",3ef6a964abad382c28ff1f91886dc99a,[],1.74,2.16,1.79,2.1,2.8,1.47,-1.5,1.5,0.0,0.0,1.03,Truist Park,20.0,0.0
2026-09-10T17:05:00,Philadelphia Phillies,Houston Astros,Zack Wheeler,Cristian Javier,4.966,4.37,0.5877,0.4123,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Houston Astros,2.08,0.0,0.0418,Houston Astros,2.03,0.0,0.0717,0,IntegerPercentStaking,Ninguno,sin_pick,,"home_runs_recent_missing,away_runs_recent_missing",01c6d0131073b3384f27ac03c02906e4,[],1.56,2.65,1.97,1.99,2.17,1.79,-1.5,1.5,0.0,0.0,1.01,Citizens Bank Park,20.0,0.0
2026-09-10T20:10:00,Seattle Mariners,Texas Rangers,Logan Gilbert,Jacob deGrom,4.096,4.486,0.4395,0.5605,7.0,Over,16.58,1.0,0.5687,0.6249,Texas Rangers,5.1,0.0,0.096,Seattle Mariners,-11.02,0.0,-0.088,1,IntegerPercentStaking,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",36a89478e8db28447dfe1b5d1f656477,[],1.83,2.11,2.05,1.87,2.84,1.49,-1.5,1.5,0.0,0.0,0.94,T-Mobile Park,20.0,0.0
2026-09-10T23:05:00,New York Yankees,Colorado Rockies,Max Fried,Ryan Feltner,6.43,3.755,0.8276,0.1724,8.5,Over,21.45,1.0,0.6134,0.6876,Colorado Rockies,-15.23,0.0,-0.1074,New York Yankees,1.46,0.0,0.094,1,IntegerPercentStaking,TOTAL: Over,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",de5c4fe6a041ce8073e59e063fe7f31f,[],1.36,3.5,1.98,1.92,1.78,2.15,-1.5,1.5,0.0,0.0,1.04,Yankee Stadium,20.0,0.0
2026-09-10T23:40:00,Chicago White Sox,Pittsburgh Pirates,Hagen Smith,Jared Jones,4.23,3.435,0.6296,0.3704,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Chicago White Sox,6.72,1.0,0.1309,Chicago White Sox,-12.22,0.0,0.1705,1,IntegerPercentStaking,ML: Chicago White Sox,activo,aprobado,"home_runs_recent_missing,away_runs_recent_missing",46bb732d224f9da07f9e3bb2f32281cc,[],1.96,1.95,1.85,2.03,1.54,2.62,1.5,-1.5,1.25,0.0,1.0,Rate Field,20.0,0.0
