start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-03-30T22:35:00,Baltimore Orioles,Texas Rangers,Chris Bassitt,Jack Leiter,6.3,1.52,0.943,0.057,8.0,Sin ventaja clara,Baltimore Orioles,100.01,44.64,Baltimore Orioles,55.67,42.82,ML: Baltimore Orioles,2.12,1.82,2.0,1.96,1.65,2.4,0.8929,0.8564,1.0
2026-03-30T22:40:00,Cincinnati Reds,Pittsburgh Pirates,Chase Burns,Braxton Ashcraft,6.3,9.0,0.203,0.797,9.0,Over,Pittsburgh Pirates,53.81,28.93,Pittsburgh Pirates,96.05,32.9,TOTAL: Over,1.99,1.93,1.97,2.09,1.62,2.46,0.5786,0.6579,1.0
2026-03-30T22:40:00,Philadelphia Phillies,Washington Nationals,Taijuan Walker,Foster Griffin,5.76,-1.41,,,9.0,Under,Washington Nationals,,,Washington Nationals,,,TOTAL: Under,1.57,2.6,1.95,1.93,2.16,1.77,,,1.0
2026-03-30T22:40:00,Miami Marlins,Chicago White Sox,Chris Paddack,Davis Martin,4.14,-7.2,,,8.5,Under,Chicago White Sox,,,Chicago White Sox,,,Ninguno,1.68,2.35,1.88,2.0,2.45,1.62,,,1.0
2026-03-30T23:07:00,Toronto Blue Jays,Colorado Rockies,Cody Ponce,Tomoyuki Sugano,7.26,5.53,0.626,0.374,8.0,Over,Colorado Rockies,22.22,4.9,Toronto Blue Jays,17.11,9.83,TOTAL: Over,1.39,3.27,2.04,2.0,1.87,2.08,0.0979,0.1966,1.0
2026-03-30T23:15:00,Atlanta Braves,Athletics,Bryce Elder,Jacob Lopez,2.92,9.0,0.024,0.976,9.5,Over,Athletics,129.43,47.94,Athletics,63.04,47.05,TOTAL: Over,1.7,2.35,2.0,2.0,2.4,1.67,0.9588,0.941,1.0
2026-03-30T23:40:00,Chicago Cubs,Los Angeles Angels,Edward Cabrera,Ryan Johnson,-5.58,9.0,,,7.0,Under,Los Angeles Angels,,,Los Angeles Angels,,,TOTAL: Under,1.7,2.3,1.98,2.0,2.58,1.61,,,1.0
2026-03-30T23:40:00,Milwaukee Brewers,Tampa Bay Rays,Kyle Harrison,Nick Martinez,6.3,7.38,0.332,0.668,7.5,Over,Tampa Bay Rays,47.04,19.6,Tampa Bay Rays,4.26,3.8,TOTAL: Over,1.77,2.2,2.0,1.91,2.6,1.56,0.392,0.0761,1.0
2026-03-30T23:45:00,St. Louis Cardinals,New York Mets,Kyle Leahy,Clay Holmes,6.14,2.52,0.858,0.142,8.0,Sin ventaja clara,St. Louis Cardinals,108.47,37.92,St. Louis Cardinals,62.14,34.91,ML: St. Louis Cardinals,2.43,1.63,1.99,2.0,1.89,2.08,0.7585,0.6982,1.0
2026-03-31T00:10:00,Houston Astros,Boston Red Sox,Lance McCullers Jr.,Ranger Suarez,1.52,7.84,0.008,0.992,7.5,Over,Boston Red Sox,132.12,49.3,Boston Red Sox,59.7,48.94,TOTAL: Over,1.72,2.34,1.91,2.0,2.55,1.61,0.9859,0.9787,1.0
2026-03-31T01:40:00,San Diego Padres,San Francisco Giants,Walker Buehler,Landen Roupp,9.0,2.92,0.911,0.089,7.5,Over,San Diego Padres,102.25,41.9,San Diego Padres,54.87,39.2,ML: San Diego Padres,2.22,1.76,1.96,2.03,1.7,2.27,0.8381,0.7839,1.0
2026-03-31T01:40:00,Seattle Mariners,New York Yankees,Luis Castillo,Ryan Weathers,7.13,9.0,0.27,0.73,7.0,Over,New York Yankees,42.31,22.26,New York Yankees,93.39,28.3,TOTAL: Over,1.96,1.95,2.0,1.95,1.54,2.65,0.4453,0.566,1.0
2026-03-31T02:10:00,Arizona Diamondbacks,Detroit Tigers,Michael Soroka,Justin Verlander,-2.04,9.0,,,9.0,Under,Detroit Tigers,,,Detroit Tigers,,,TOTAL: Under,1.94,2.0,2.1,1.95,2.8,2.5,,,1.0
2026-03-31T02:10:00,Los Angeles Dodgers,Cleveland Guardians,Roki Sasaki,Parker Messick,9.0,6.98,0.607,0.393,8.0,Over,Cleveland Guardians,22.77,5.37,Los Angeles Dodgers,18.27,9.62,TOTAL: Over,1.43,3.12,1.98,1.95,1.95,1.93,0.1074,0.1923,1.0
